Group,Lineage,Time,Value
PFO+,Lineage 7,0,100
PFO+,Lineage 7,48,9.375000023
PFO+,Lineage 7,96,2.100000005
PFO+,Lineage 7,144,0.600000002
PFO+,Lineage 7,192,0.03375
PFO+,Lineage 7,240,0.008625
PFO+,Lineage 7,288,0.00111
PFO+,Lineage 7,336,0.0013875
PFO+,Lineage 4,0,100
PFO+,Lineage 4,48,8.846153846
PFO+,Lineage 4,96,0.576923077
PFO+,Lineage 4,144,0.088461538
PFO+,Lineage 4,192,0.038461538
PFO+,Lineage 4,240,0.010769231
PFO+,Lineage 4,288,0.013576923
PFO+,Lineage 4,336,0.004615385
PFO+,Lineage 6,0,100
PFO+,Lineage 6,48,6.52173913
PFO+,Lineage 6,96,2.173913043
PFO+,Lineage 6,144,0.069565217
PFO+,Lineage 6,192,0.046086957
PFO+,Lineage 6,240,0.008695652
PFO+,Lineage 6,288,0.001043478
PFO+,Lineage 6,336,0.000273913
PFO+,Lineage 6,0,100
PFO+,Lineage 6,48,3.203846154
PFO+,Lineage 6,96,0.511538462
PFO+,Lineage 6,144,0.069230769
PFO+,Lineage 6,192,0.023076923
PFO+,Lineage 6,240,0.016653846
PFO+,Lineage 6,288,0.01
PFO+,Lineage 6,336,0.003846154
PFO-,Lineage 2,0,100
PFO-,Lineage 2,48,0.176923077
PFO-,Lineage 2,96,0.035384615
PFO-,Lineage 2,144,0.000430769
PFO-,Lineage 2,192,7.69E-05
PFO-,Lineage 2,240,0.0000001
PFO-,Lineage 2,288,0.0000001
PFO-,Lineage 2,336,0.0000001
PFO+,Lineage 7,0,100
PFO+,Lineage 7,48,29.09090909
PFO+,Lineage 7,96,7.878787879
PFO+,Lineage 7,144,0.666666667
PFO+,Lineage 7,192,0.412121212
PFO+,Lineage 7,240,0.251515152
PFO+,Lineage 7,288,0.109090909
PFO+,Lineage 7,336,0.013636364
PFO+,Lineage 5,0,100
PFO+,Lineage 5,48,2.538461538
PFO+,Lineage 5,96,0.202307692
PFO+,Lineage 5,144,0.035384615
PFO+,Lineage 5,192,0.012307692
PFO+,Lineage 5,240,0.002
PFO+,Lineage 5,288,0.002230769
PFO+,Lineage 5,336,0.000584615
PFO-,Lineage 6,0,100
PFO-,Lineage 6,48,7.166666667
PFO-,Lineage 6,96,1.666666667
PFO-,Lineage 6,144,0.383333333
PFO-,Lineage 6,192,0.205
PFO-,Lineage 6,240,0.008
PFO-,Lineage 6,288,0.006666667
PFO-,Lineage 6,336,0.002666667
PFO-,Lineage 5,0,100
PFO-,Lineage 5,48,9.411764706
PFO-,Lineage 5,96,0.764705882
PFO-,Lineage 5,144,0.211764706
