Strain,Lineage,Group,Group2,Perc
ATCC13124,VII,PFO+,Non-CPA-NEC,45.45532392
ATCC13124,VII,PFO+,Non-CPA-NEC,42.26856234
ATCC13124,VII,PFO+,Non-CPA-NEC,51.48198865
ATCC13124,VII,PFO+,Non-CPA-NEC,50.61818634
ATCC13124,VII,PFO+,Non-CPA-NEC,52.97178965
ATCC13124,VII,PFO+,Non-CPA-NEC,46.16315149
IQ002,III,PFO+,Non-CPA-NEC,12.23257879
IQ002,III,PFO+,Non-CPA-NEC,23.4187052
IQ002,III,PFO+,Non-CPA-NEC,13.85370326
IQ002,III,PFO+,Non-CPA-NEC,5.417130521
IQ002,III,PFO+,Non-CPA-NEC,4.912526661
IQ002,III,PFO+,Non-CPA-NEC,5.534177808
IQ005,I,PFO+,Non-CPA-NEC,18.21971312
IQ005,I,PFO+,Non-CPA-NEC,15.17747588
IQ005,I,PFO+,Non-CPA-NEC,17.61993713
IQ005,I,PFO+,Non-CPA-NEC,7.93537093
IQ005,I,PFO+,Non-CPA-NEC,10.93219503
IQ005,I,PFO+,Non-CPA-NEC,5.621968913
IQ024,VI,PFO+,CPA-NEC,51.2829307
IQ024,VI,PFO+,CPA-NEC,46.7834832
IQ024,VI,PFO+,CPA-NEC,53.25327699
IQ024,VI,PFO+,CPA-NEC,26.1787182
IQ024,VI,PFO+,CPA-NEC,13.13965042
IQ024,VI,PFO+,CPA-NEC,30.55368569
IQ036,IV,PFO+,CPA-NEC,70.39087847
IQ036,IV,PFO+,CPA-NEC,73.83163244
IQ036,IV,PFO+,CPA-NEC,76.38646578
IQ036,IV,PFO+,CPA-NEC,40.68998075
IQ036,IV,PFO+,CPA-NEC,43.74621547
IQ036,IV,PFO+,CPA-NEC,36.08091869
IQ078,I,PFO+,Non-CPA-NEC,24.57665125
IQ078,I,PFO+,Non-CPA-NEC,19.80885435
IQ078,I,PFO+,Non-CPA-NEC,20.49626994
IQ078,I,PFO+,Non-CPA-NEC,5.058185507
IQ078,I,PFO+,Non-CPA-NEC,5.781277636
IQ078,I,PFO+,Non-CPA-NEC,5.359907403
IQ101,III,PFO+,Non-CPA-NEC,21.3123462
IQ101,III,PFO+,Non-CPA-NEC,22.22767498
IQ101,III,PFO+,Non-CPA-NEC,27.06531624
IQ101,III,PFO+,Non-CPA-NEC,12.27350049
IQ101,III,PFO+,Non-CPA-NEC,3.723846434
IQ101,III,PFO+,Non-CPA-NEC,6.860713728
IQ106,I,PFO+,Non-CPA-NEC,17.68858619
IQ106,I,PFO+,Non-CPA-NEC,18.04628392
IQ106,I,PFO+,Non-CPA-NEC,17.73194349
IQ106,I,PFO+,Non-CPA-NEC,3.308566897
IQ106,I,PFO+,Non-CPA-NEC,5.56714896
IQ106,I,PFO+,Non-CPA-NEC,7.197128896
IQ129,VI,PFO+,CPA-NEC,55.15010289
IQ129,VI,PFO+,CPA-NEC,45.47114435
IQ129,VI,PFO+,CPA-NEC,47.03345251
IQ129,VI,PFO+,CPA-NEC,27.44022785
IQ129,VI,PFO+,CPA-NEC,20.36797066
IQ129,VI,PFO+,CPA-NEC,28.2257452
IQ146,VII,PFO+,CPA-NEC,65.5311811
IQ146,VII,PFO+,CPA-NEC,44.47861917
IQ146,VII,PFO+,CPA-NEC,52.15414725
IQ146,VII,PFO+,CPA-NEC,44.43029184
IQ146,VII,PFO+,CPA-NEC,29.57308953
IQ146,VII,PFO+,CPA-NEC,26.4856422
IQ153,VII,PFO+,Non-CPA-NEC,60.87366478
IQ153,VII,PFO+,Non-CPA-NEC,66.88395616
IQ153,VII,PFO+,Non-CPA-NEC,63.00943193
IQ153,VII,PFO+,Non-CPA-NEC,51.25284815
IQ153,VII,PFO+,Non-CPA-NEC,14.88235447
IQ153,VII,PFO+,Non-CPA-NEC,25.3853977
IQ192,VII,PFO+,Non-CPA-NEC,38.70359301
IQ192,VII,PFO+,Non-CPA-NEC,34.87318101
IQ192,VII,PFO+,Non-CPA-NEC,34.26663785
IQ192,VII,PFO+,Non-CPA-NEC,13.5428133
IQ192,VII,PFO+,Non-CPA-NEC,10.41895126
IQ192,VII,PFO+,Non-CPA-NEC,12.53620663
LH057,VII,PFO+,Non-CPA-NEC,31.98382993
LH057,VII,PFO+,Non-CPA-NEC,38.08969781
LH057,VII,PFO+,Non-CPA-NEC,38.45362371
LH057,VII,PFO+,Non-CPA-NEC,29.50806326
LH057,VII,PFO+,Non-CPA-NEC,13.066821
LH057,VII,PFO+,Non-CPA-NEC,8.093611819
LH101,VII,PFO+,Non-CPA-NEC,37.75518006
LH101,VII,PFO+,Non-CPA-NEC,37.92060093
LH101,VII,PFO+,Non-CPA-NEC,41.49369158
LH101,VII,PFO+,Non-CPA-NEC,8.416142121
LH101,VII,PFO+,Non-CPA-NEC,14.55722312
LH101,VII,PFO+,Non-CPA-NEC,8.686651407
LH115,V,PFO+,Non-CPA-NEC,51.30498681
LH115,V,PFO+,Non-CPA-NEC,76.28721326
LH115,V,PFO+,Non-CPA-NEC,59.23783624
LH115,V,PFO+,Non-CPA-NEC,17.50161265
LH115,V,PFO+,Non-CPA-NEC,24.31116371
LH115,V,PFO+,Non-CPA-NEC,22.90139416
LHN006,III,PFO+,Non-CPA-NEC,17.29078121
LHN006,III,PFO+,Non-CPA-NEC,27.1903009
LHN006,III,PFO+,Non-CPA-NEC,26.55434958
LHN006,III,PFO+,Non-CPA-NEC,7.126020912
LHN006,III,PFO+,Non-CPA-NEC,4.834495136
LHN006,III,PFO+,Non-CPA-NEC,6.665634917
