Strain,Lineage,Group,Perc
IQ146,VII,PFO+,65.5311811
IQ146,VII,PFO+,44.47861917
IQ146,VII,PFO+,52.15414725
IQ146,VII,PFO+,44.43029184
IQ146,VII,PFO+,29.57308953
IQ146,VII,PFO+,26.4856422
IQ129,VI,PFO+,55.15010289
IQ129,VI,PFO+,45.47114435
IQ129,VI,PFO+,47.03345251
IQ129,VI,PFO+,27.44022785
IQ129,VI,PFO+,20.36797066
IQ129,VI,PFO+,28.2257452
IQ024,VI,PFO+,51.2829307
IQ024,VI,PFO+,46.7834832
IQ024,VI,PFO+,53.25327699
IQ024,VI,PFO+,26.1787182
IQ024,VI,PFO+,13.13965042
IQ024,VI,PFO+,30.55368569
IQ153,VII,PFO+,60.87366478
IQ153,VII,PFO+,66.88395616
IQ153,VII,PFO+,63.00943193
IQ153,VII,PFO+,51.25284815
IQ153,VII,PFO+,14.88235447
IQ153,VII,PFO+,25.3853977
LH115,V,PFO+,51.30498681
LH115,V,PFO+,76.28721326
LH115,V,PFO+,59.23783624
LH115,V,PFO+,17.50161265
LH115,V,PFO+,24.31116371
LH115,V,PFO+,22.90139416
LH043,VI,PFO-,0.708258618
LH043,VI,PFO-,0.594302023
LH043,VI,PFO-,1.189817133
LH043,VI,PFO-,0.675414868
LH043,VI,PFO-,1.333480726
LH043,VI,PFO-,0.914711543
IQ147,V,PFO-,2.211750469
IQ147,V,PFO-,2.899166058
IQ147,V,PFO-,2.627140638
IQ147,V,PFO-,2.774462883
IQ147,V,PFO-,0.779456901
IQ147,V,PFO-,2.126801228
IQ133,V,PFO-,-0.861401578
IQ133,V,PFO-,0.994988115
IQ133,V,PFO-,0.263460296
IQ133,V,PFO-,0.880897883
IQ133,V,PFO-,0.849685273
IQ133,V,PFO-,0.880897883
IQ002,III,PFO+,12.23257879
IQ002,III,PFO+,23.4187052
IQ002,III,PFO+,13.85370326
IQ002,III,PFO+,5.417130521
IQ002,III,PFO+,4.912526661
IQ002,III,PFO+,5.534177808
IQ101,III,PFO+,21.3123462
IQ101,III,PFO+,22.22767498
IQ101,III,PFO+,27.06531624
IQ101,III,PFO+,12.27350049
IQ101,III,PFO+,3.723846434
IQ101,III,PFO+,6.860713728
IQ093,V,PFO-,0.65679435
IQ093,V,PFO-,1.825768453
IQ093,V,PFO-,1.388322169
IQ093,V,PFO-,0.711829579
IQ093,V,PFO-,0.995344119
IQ093,V,PFO-,1.146205067
IQ078,I,PFO+,24.57665125
IQ078,I,PFO+,19.80885435
IQ078,I,PFO+,20.49626994
IQ078,I,PFO+,5.058185507
IQ078,I,PFO+,5.781277636
IQ078,I,PFO+,5.359907403
LHN006,III,PFO+,17.29078121
LHN006,III,PFO+,27.1903009
LHN006,III,PFO+,26.55434958
LHN006,III,PFO+,7.126020912
LHN006,III,PFO+,4.834495136
LHN006,III,PFO+,6.665634917
LH057,VII,PFO+,31.98382993
LH057,VII,PFO+,38.08969781
LH057,VII,PFO+,38.45362371
LH057,VII,PFO+,29.50806326
LH057,VII,PFO+,13.066821
LH057,VII,PFO+,8.093611819
LH101,VII,PFO+,37.75518006
LH101,VII,PFO+,37.92060093
LH101,VII,PFO+,41.49369158
LH101,VII,PFO+,8.416142121
LH101,VII,PFO+,14.55722312
LH101,VII,PFO+,8.686651407
IQ192,VII,PFO+,38.70359301
IQ192,VII,PFO+,34.87318101
IQ192,VII,PFO+,34.26663785
IQ192,VII,PFO+,13.5428133
IQ192,VII,PFO+,10.41895126
IQ192,VII,PFO+,12.53620663
IQ037,VI,PFO-,-0.831993424
IQ037,VI,PFO-,-0.975358173
IQ037,VI,PFO-,-0.754797021
IQ037,VI,PFO-,0.222832024
IQ037,VI,PFO-,-0.16992665
IQ037,VI,PFO-,0.142199449
LH111,V,PFO-,0.634738234
LH111,V,PFO-,0.502401543
LH111,V,PFO-,2.439663659
LH111,V,PFO-,0.891302086
