Strain,Group,Lineage,Lineage,Day,CFU,Percentage
IQ146,pfoA+,Lineage 7,7,0,266666666,100
IQ146,pfoA+,Lineage 7,7,2,25000000,9.375000023
IQ146,pfoA+,Lineage 7,7,4,5600000,2.100000005
IQ146,pfoA+,Lineage 7,7,6,1600000,0.600000002
IQ146,pfoA+,Lineage 7,7,8,90000,0.03375
IQ146,pfoA+,Lineage 7,7,10,23000,0.008625
IQ146,pfoA+,Lineage 7,7,12,2960,0.00111
IQ146,pfoA+,Lineage 7,7,14,3700,0.0013875
IQ036,pfoA+,Lineage 4,4,0,26000000,100
IQ036,pfoA+,Lineage 4,4,2,2300000,8.846153846
IQ036,pfoA+,Lineage 4,4,4,150000,0.576923077
IQ036,pfoA+,Lineage 4,4,6,23000,0.088461538
IQ036,pfoA+,Lineage 4,4,8,10000,0.038461538
IQ036,pfoA+,Lineage 4,4,10,2800,0.010769231
IQ036,pfoA+,Lineage 4,4,12,3530,0.013576923
IQ036,pfoA+,Lineage 4,4,14,1200,0.004615385
IQ129,pfoA+,Lineage 6,6,0,230000000,100
IQ129,pfoA+,Lineage 6,6,2,15000000,6.52173913
IQ129,pfoA+,Lineage 6,6,4,5000000,2.173913043
IQ129,pfoA+,Lineage 6,6,6,160000,0.069565217
IQ129,pfoA+,Lineage 6,6,8,106000,0.046086957
IQ129,pfoA+,Lineage 6,6,10,20000,0.008695652
IQ129,pfoA+,Lineage 6,6,12,2400,0.001043478
IQ129,pfoA+,Lineage 6,6,14,630,0.000273913
IQ024,pfoA+,Lineage 6,6,0,260000000,100
IQ024,pfoA+,Lineage 6,6,2,8330000,3.203846154
IQ024,pfoA+,Lineage 6,6,4,1330000,0.511538462
IQ024,pfoA+,Lineage 6,6,6,180000,0.069230769
IQ024,pfoA+,Lineage 6,6,8,60000,0.023076923
IQ024,pfoA+,Lineage 6,6,10,43300,0.016653846
IQ024,pfoA+,Lineage 6,6,12,26000,0.01
IQ024,pfoA+,Lineage 6,6,14,10000,0.003846154
LH019,pfoA-,Lineage 2,2,0,130000000,100
LH019,pfoA-,Lineage 2,2,2,230000,0.176923077
LH019,pfoA-,Lineage 2,2,4,46000,0.035384615
LH019,pfoA-,Lineage 2,2,6,560,0.000430769
LH019,pfoA-,Lineage 2,2,8,100,7.69231E-05
LH019,pfoA-,Lineage 2,2,10,0,0
LH019,pfoA-,Lineage 2,2,12,0,0
LH019,pfoA-,Lineage 2,2,14,0,0
IQ153,pfoA+,Lineage 7,7,0,33000000,100
