Strain,Lineage,CFU,Spores
IQ146,Lineage 7,52000000,100
IQ129,Lineage 6,30000000,3100
IQ024,Lineage 6,14600000,186000
IQ153,Lineage 7,30000000,1300
LH115,Lineage 5,17000000,100
LH043,Lineage 6,20000000,230
IQ147,Lineage 5,7000000,1
IQ133,Lineage 5,7600000,1
IQ002,Lineage 3,19000000,860
IQ101,Lineage 3,1300000,200
IQ093,Lineage 5,28600000,830
IQ078,Lineage 1,16000000,1
LHN006,Lineage 3,32000000,460
LH057,Lineage 7,33000000,13000
LH101,Lineage 7,50000000,600
IQ192,Lineage 7,25000000,1
IQ037,Lineage 6,300000000,1600000
LH111,Lineage 5,25000000,1
IQ056,Lineage 5,28000000,1
IQ041,Lineage 5,23000000,1
IQ190,Lineage 5,6300000,1
IQ175,Lineage 5,5500000,1
IQ109,Lineage 5,27000000,1
IQ205,Lineage 5,13000000,1
IQ058,Lineage 5,100000000,100
IQ106,Lineage 1,8000000,1
IQ005,Lineage 1,32000000,300
