Strain,Group,plc,pfoA,ccp,colA,cpe,iap,ibp,becA,becB,cpb2,alv
ATCC13124,PFO+,10,10,10,10,0,0,0,0,0,0,0
IQ002,PFO+,10,10,10,10,10,10,10,0,0,0,10
IQ005,PFO+,10,10,10,10,0,0,0,0,0,0,0
IQ024,PFO+,10,10,10,10,0,0,0,0,0,0,0
IQ036,PFO+,10,10,10,10,0,0,0,0,0,10,0
IQ078,PFO+,10,10,10,10,0,0,0,0,0,0,0
IQ101,PFO+,10,10,10,10,0,0,0,10,10,0,10
IQ106,PFO+,10,10,10,10,0,0,0,0,0,10,0
IQ129,PFO+,10,10,10,10,0,0,0,0,0,10,0
IQ146,PFO+,10,10,10,10,0,0,0,0,0,10,0
IQ153,PFO+,10,10,10,10,0,0,0,0,0,10,0
IQ192,PFO+,10,10,10,10,0,0,0,0,0,10,0
LH057,PFO+,10,10,10,10,0,0,0,0,0,10,0
LH101,PFO+,10,10,10,10,0,0,0,0,0,10,0
LH115,PFO+,10,10,10,10,0,0,0,0,0,10,0
LHN006,PFO+,10,10,10,10,0,0,0,0,0,0,10
