Lineage,SNP
BL,783
BL,1378
BL,665
BL,1308
BL,743
BL,687
BL,771
BL,723
BL,1341
BL,817
BL,702
BL,811
BL,821
BL,717
BL,693
BL,751
BL,818
BL,1612
BL,700
BL,792
BL,1342
BL,704
BL,1356
BL,765
BL,732
BL,1341
BL,730
BL,1288
BL,819
BL,806
BL,733
BL,808
BL,719
BL,802
BL,809
BL,803
BL,1328
BL,1005
BL,790
BL,734
BL,749
BL,717
BL,771
BL,738
BL,812
BL,786
BL,741
BL,688
BL,791
BL,839
BL,1322
BL,1329
BL,690
BL,786
BL,685
BL,816
BL,744
BL,761
BL,803
BL,703
BL,866
BL,760
BL,702
BL,1350
BL,1097
BL,697
BL,712
BL,1381
BL,700
BL,726
BL,724
BL,1923
BL,792
BL,714
BL,724
BL,1344
BL,1621
BL,778
BL,748
BL,744
BL,724
BL,1310
BL,1343
BL,745
BL,816
BL,789
BL,1290
BL,797
BL,801
BL,745
BL,806
BL,874
BL,728
BL,746
BL,795
BL,863
BL,1625
BL,801
BL,686
BL,819
BL,726
BL,757
BL,793
BL,726
BL,802
BL,799
BL,1890
BL,782
BL,1358
BL,1635
BL,1322
BL,1664
BL,1348
BL,797
BL,693
BL,798
BL,708
BL,1338
BL,1946
BL,673
BL,1338
BL,743
BL,762
BL,705
BL,832
BL,743
BL,832
BL,1585
BL,786
BL,1571
BL,1341
BL,801
BL,770
BL,700
BL,700
BL,732
BL,701
BL,794
BL,1363
BL,733
BL,792
BL,823
BL,701
BL,772
BL,746
BL,680
BL,728
BL,791
BL,735
BL,815
BL,856
BL,825
BL,760
BL,758
BL,1272
BL,698
BL,656
BL,715
BL,801
BL,715
BL,817
BL,801
BL,685
BL,703
BL,1941
BL,795
BL,1343
BL,1351
BL,1333
BL,1343
BL,681
BL,787
BL,1363
BL,1355
BL,710
BL,766
BL,704
BL,703
BL,810
BL,1900
BL,1931
BL,1339
BL,837
BL,705
BL,818
BL,840
BL,762
BL,1923
BL,1323
BL,790
BL,749
BL,697
BL,1355
BL,795
BL,1347
BL,841
BL,1321
BL,729
BL,1895
BL,762
BL,783
BL,1353
BL,634
BL,1292
BL,718
BL,664
BL,766
BL,696
BL,1320
BL,786
BL,700
BL,757
BL,813
BL,700
BL,656
BL,766
BL,812
BL,1661
BL,656
BL,746
BL,1303
BL,662
BL,1316
BL,770
BL,709
BL,1302
BL,710
BL,1286
BL,786
BL,798
BL,730
BL,768
BL,695
BL,760
BL,755
BL,751
BL,1313
BL,983
BL,785
BL,705
BL,710
BL,637
BL,747
BL,751
BL,813
BL,779
BL,721
BL,681
BL,798
BL,827
BL,1295
BL,1305
BL,698
BL,777
BL,666
BL,777
BL,719
BL,753
BL,772
BL,668
BL,866
BL,732
BL,724
BL,1340
BL,1067
BL,661
BL,699
BL,1361
BL,695
BL,655
BL,704
BL,1903
BL,748
BL,689
BL,719
BL,1337
BL,1660
BL,709
BL,713
BL,719
BL,690
BL,1242
BL,1323
BL,711
BL,789
BL,755
BL,1274
BL,788
BL,779
BL,697
BL,767
BL,852
BL,688
BL,719
BL,786
BL,842
BL,1593
BL,756
BL,662
BL,760
BL,710
BL,753
BL,756
BL,702
BL,752
BL,746
BL,1859
BL,723
BL,1332
BL,1634
BL,1318
BL,1632
BL,1326
BL,759
BL,685
BL,791
BL,712
BL,1307
BL,1910
BL,641
BL,1311
BL,732
BL,744
BL,678
BL,819
BL,724
BL,813
BL,1560
BL,740
BL,1567
BL,1307
BL,740
BL,720
BL,659
BL,675
BL,711
BL,680
BL,744
BL,1330
BL,712
BL,758
BL,796
BL,681
BL,798
BL,715
BL,646
BL,693
BL,742
BL,724
BL,777
BL,838
BL,798
BL,726
BL,716
BL,1272
BL,661
BL,649
BL,718
BL,749
BL,697
BL,774
BL,801
BL,631
BL,691
BL,1888
BL,730
BL,1324
BL,1337
BL,1326
BL,1316
BL,636
BL,755
BL,1350
BL,1334
BL,717
BL,723
BL,663
BL,668
BL,773
BL,1859
BL,1904
BL,1329
BL,812
BL,709
BL,795
BL,801
BL,763
BL,1890
BL,1296
BL,750
BL,705
BL,714
BL,1345
BL,752
BL,1332
BL,828
BL,1301
BL,714
BL,1843
BL,741
BL,696
BL,1365
BL,599
BL,1293
BL,700
BL,605
BL,742
BL,627
BL,1321
BL,769
BL,655
BL,828
BL,807
BL,655
BL,612
BL,773
BL,815
BL,1680
BL,653
BL,704
BL,1318
BL,613
BL,1343
BL,740
BL,584
BL,1317
BL,740
BL,1262
BL,747
BL,817
BL,689
BL,725
BL,722
BL,752
BL,826
BL,822
BL,1343
BL,975
BL,814
BL,687
BL,609
BL,600
BL,685
BL,727
BL,840
BL,813
BL,756
BL,690
BL,816
BL,814
BL,1302
BL,1313
BL,681
BL,813
BL,648
BL,746
BL,701
BL,747
BL,754
BL,618
BL,836
BL,754
BL,705
BL,1333
BL,1094
BL,620
BL,661
BL,1384
BL,606
BL,625
BL,658
BL,1951
BL,714
BL,639
BL,673
BL,1345
BL,1690
BL,746
BL,600
BL,701
BL,739
BL,1267
BL,1333
BL,645
BL,753
BL,754
BL,1270
BL,812
BL,767
BL,775
BL,787
BL,774
BL,658
BL,715
BL,748
BL,850
BL,1629
BL,812
BL,639
BL,835
BL,696
BL,777
BL,715
BL,654
BL,821
BL,766
BL,1912
BL,739
BL,1318
BL,1672
BL,1314
BL,1645
BL,1322
BL,764
BL,620
BL,816
BL,695
BL,1326
BL,1954
BL,623
BL,1314
BL,750
BL,769
BL,673
BL,805
BL,652
BL,806
BL,1613
BL,788
BL,1602
BL,1307
BL,760
BL,746
BL,657
BL,630
BL,588
BL,556
BL,704
BL,1328
BL,587
BL,757
BL,752
BL,703
BL,712
BL,717
BL,609
BL,661
BL,705
BL,742
BL,733
BL,820
BL,754
BL,706
BL,730
BL,1289
BL,577
BL,613
BL,645
BL,820
BL,717
BL,781
BL,817
BL,669
BL,573
BL,1933
BL,811
BL,1323
BL,1335
BL,1323
BL,1323
BL,572
BL,794
BL,1341
BL,1323
BL,748
BL,757
BL,661
BL,623
BL,774
BL,1917
BL,1944
BL,1332
BL,784
BL,692
BL,794
BL,731
BL,756
BL,1940
BL,1303
BL,722
BL,777
BL,709
BL,1338
BL,724
BL,1329
BL,810
BL,1302
BL,726
BL,1874
BL,711
BL,734
BL,1294
BL,677
BL,1264
BL,710
BL,709
BL,774
BL,675
BL,1262
BL,745
BL,692
BL,779
BL,793
BL,738
BL,585
BL,747
BL,826
BL,1628
BL,628
BL,663
BL,1291
BL,697
BL,1297
BL,709
BL,700
BL,1290
BL,715
BL,1231
BL,705
BL,819
BL,682
BL,749
BL,699
BL,729
BL,777
BL,771
BL,1241
BL,909
BL,809
BL,770
BL,720
BL,615
BL,709
BL,696
BL,835
BL,812
BL,736
BL,691
BL,816
BL,795
BL,1262
BL,1233
BL,660
BL,812
BL,727
BL,741
BL,711
BL,733
BL,761
BL,674
BL,794
BL,731
BL,708
BL,1254
BL,1064
BL,717
BL,732
BL,1308
BL,603
BL,624
BL,741
BL,1938
BL,706
BL,721
BL,759
BL,1249
BL,1643
BL,725
BL,715
BL,711
BL,720
BL,1238
BL,1259
BL,737
BL,732
BL,742
BL,1224
BL,806
BL,778
BL,754
BL,753
BL,760
BL,741
BL,731
BL,734
BL,772
BL,1587
BL,779
BL,696
BL,786
BL,723
BL,742
BL,736
BL,737
BL,770
BL,742
BL,1898
BL,722
BL,1243
BL,1627
BL,1248
BL,1613
BL,1239
BL,740
BL,667
BL,809
BL,744
BL,1244
BL,1943
BL,703
BL,1238
BL,762
BL,726
BL,735
BL,792
BL,742
BL,755
BL,1575
BL,745
BL,1555
BL,1237
BL,737
BL,727
BL,640
BL,713
BL,706
BL,678
BL,725
BL,1250
BL,703
BL,745
BL,708
BL,689
BL,687
BL,766
BL,716
BL,740
BL,726
BL,754
BL,758
BL,796
BL,710
BL,702
BL,699
BL,1249
BL,667
BL,654
BL,604
