Time,Group,PFO,CFU
Day 0,IQ146,pfoA+,1
Day 0,IQ146,pfoA+,1
Day 0,IQ146,pfoA+,1
Day 0,IQ146,pfoA+,1
Day 0,IQ146,pfoA+,1
Day 0,IQ129,pfoA+,1
Day 0,IQ129,pfoA+,1
Day 0,IQ129,pfoA+,1
Day 0,IQ129,pfoA+,1
Day 0,IQ129,pfoA+,1
Day 0,LH115,pfoA+,1
Day 0,LH115,pfoA+,1
Day 0,LH115,pfoA+,1
Day 0,LH115,pfoA+,1
Day 0,LH115,pfoA+,1
Day 0,IQ147,pfoA-,1
Day 0,IQ147,pfoA-,1
Day 0,IQ147,pfoA-,1
Day 0,IQ147,pfoA-,1
Day 0,IQ147,pfoA-,1
Day 0,IQ133,pfoA-,1
Day 0,IQ133,pfoA-,1
Day 0,IQ133,pfoA-,1
Day 0,IQ133,pfoA-,1
Day 0,IQ133,pfoA-,1
Day 0,LH043,pfoA-,1
Day 0,LH043,pfoA-,1
Day 0,LH043,pfoA-,1
Day 0,LH043,pfoA-,1
Day 0,LH043,pfoA-,1
Day 1,IQ146,pfoA+,1
Day 1,IQ146,pfoA+,20000
Day 1,IQ146,pfoA+,1
Day 1,IQ146,pfoA+,1
Day 1,IQ146,pfoA+,2000000
Day 1,IQ129,pfoA+,3300
Day 1,IQ129,pfoA+,1
Day 1,IQ129,pfoA+,10000
Day 1,IQ129,pfoA+,33000
Day 1,IQ129,pfoA+,3300
Day 1,LH115,pfoA+,13000000
Day 1,LH115,pfoA+,330000000
Day 1,LH115,pfoA+,10000
Day 1,LH115,pfoA+,153333
Day 1,LH115,pfoA+,150000
Day 1,IQ147,pfoA-,133333333
Day 1,IQ147,pfoA-,300000000
Day 1,IQ147,pfoA-,530000000
Day 1,IQ147,pfoA-,166666666
Day 1,IQ147,pfoA-,32000000
Day 1,IQ133,pfoA-,10000
Day 1,IQ133,pfoA-,10000
Day 1,IQ133,pfoA-,73000
Day 1,IQ133,pfoA-,26000
Day 1,IQ133,pfoA-,20000
Day 1,LH043,pfoA-,90000
Day 1,LH043,pfoA-,1
Day 1,LH043,pfoA-,1
Day 1,LH043,pfoA-,20000
Day 1,LH043,pfoA-,1
Day 2,IQ146,pfoA+,1
Day 2,IQ146,pfoA+,23333
Day 2,IQ146,pfoA+,1
Day 2,IQ146,pfoA+,844444
Day 2,IQ146,pfoA+,1
Day 2,IQ129,pfoA+,1
Day 2,IQ129,pfoA+,1
Day 2,IQ129,pfoA+,15333
Day 2,IQ129,pfoA+,36666
Day 2,IQ129,pfoA+,10000
Day 2,LH115,pfoA+,220000
Day 2,LH115,pfoA+,10000
Day 2,LH115,pfoA+,33333
Day 2,LH115,pfoA+,3300
Day 2,LH115,pfoA+,26666
Day 2,IQ147,pfoA-,5000000
Day 2,IQ147,pfoA-,40000
Day 2,IQ147,pfoA-,2000000
Day 2,IQ147,pfoA-,1600000
Day 2,IQ147,pfoA-,56666
Day 2,IQ133,pfoA-,7500
Day 2,IQ133,pfoA-,1
Day 2,IQ133,pfoA-,1
Day 2,IQ133,pfoA-,20000
Day 2,IQ133,pfoA-,3000
Day 2,LH043,pfoA-,3300
Day 2,LH043,pfoA-,1
Day 2,LH043,pfoA-,1
Day 2,LH043,pfoA-,3300
Day 2,LH043,pfoA-,1
Day 3,IQ146,pfoA+,1
Day 3,IQ146,pfoA+,1
Day 3,IQ146,pfoA+,10000
Day 3,IQ146,pfoA+,1
Day 3,IQ146,pfoA+,20000
Day 3,IQ129,pfoA+,1
Day 3,IQ129,pfoA+,10000
Day 3,IQ129,pfoA+,1
Day 3,IQ129,pfoA+,1
Day 3,IQ129,pfoA+,1
Day 3,LH115,pfoA+,16000
Day 3,LH115,pfoA+,1
Day 3,LH115,pfoA+,1
Day 3,LH115,pfoA+,1
Day 3,LH115,pfoA+,1
Day 3,IQ147,pfoA-,76000
Day 3,IQ147,pfoA-,43000
Day 3,IQ147,pfoA-,23000
Day 3,IQ147,pfoA-,16000
Day 3,IQ147,pfoA-,10000
Day 3,IQ133,pfoA-,1
Day 3,IQ133,pfoA-,1
Day 3,IQ133,pfoA-,1
Day 3,IQ133,pfoA-,1
Day 3,IQ133,pfoA-,1
Day 3,LH043,pfoA-,13000
Day 3,LH043,pfoA-,10000
Day 3,LH043,pfoA-,1
Day 3,LH043,pfoA-,1
Day 3,LH043,pfoA-,10000
Day 4,IQ146,pfoA+,1
Day 4,IQ146,pfoA+,1
Day 4,IQ146,pfoA+,1
Day 4,IQ146,pfoA+,1
Day 4,IQ146,pfoA+,1
Day 4,IQ129,pfoA+,1
Day 4,IQ129,pfoA+,1
Day 4,IQ129,pfoA+,1
Day 4,IQ129,pfoA+,1
Day 4,IQ129,pfoA+,1
Day 4,LH115,pfoA+,1
Day 4,LH115,pfoA+,1
Day 4,LH115,pfoA+,1
Day 4,LH115,pfoA+,1
Day 4,LH115,pfoA+,1
Day 4,IQ147,pfoA-,9000
Day 4,IQ147,pfoA-,1
Day 4,IQ147,pfoA-,1
Day 4,IQ147,pfoA-,10000
Day 4,IQ147,pfoA-,1
Day 4,IQ133,pfoA-,1
Day 4,IQ133,pfoA-,1
Day 4,IQ133,pfoA-,1
Day 4,IQ133,pfoA-,1
Day 4,IQ133,pfoA-,1
Day 4,LH043,pfoA-,1
Day 4,LH043,pfoA-,1
Day 4,LH043,pfoA-,1
Day 4,LH043,pfoA-,1
Day 4,LH043,pfoA-,3300
Day 5,IQ146,pfoA+,1
Day 5,IQ146,pfoA+,1
Day 5,IQ146,pfoA+,1
Day 5,IQ146,pfoA+,1
Day 5,IQ146,pfoA+,1
Day 5,IQ129,pfoA+,1
Day 5,IQ129,pfoA+,1
Day 5,IQ129,pfoA+,3300
Day 5,IQ129,pfoA+,1
Day 5,IQ129,pfoA+,1
Day 5,LH115,pfoA+,1
Day 5,LH115,pfoA+,1
Day 5,LH115,pfoA+,16000
Day 5,LH115,pfoA+,1
Day 5,LH115,pfoA+,1
Day 5,IQ147,pfoA-,3300
Day 5,IQ147,pfoA-,3300
Day 5,IQ147,pfoA-,1
Day 5,IQ147,pfoA-,1
Day 5,IQ147,pfoA-,1
Day 5,IQ133,pfoA-,1
Day 5,IQ133,pfoA-,1
Day 5,IQ133,pfoA-,1
Day 5,IQ133,pfoA-,1
Day 5,IQ133,pfoA-,1
Day 5,LH043,pfoA-,3300
Day 5,LH043,pfoA-,1
Day 5,LH043,pfoA-,1
Day 5,LH043,pfoA-,1
Day 5,LH043,pfoA-,1
Day 6,IQ146,pfoA+,1
Day 6,IQ146,pfoA+,1
Day 6,IQ146,pfoA+,1
Day 6,IQ146,pfoA+,1
Day 6,IQ146,pfoA+,1
Day 6,IQ129,pfoA+,1
Day 6,IQ129,pfoA+,1
Day 6,IQ129,pfoA+,1
Day 6,IQ129,pfoA+,1
Day 6,IQ129,pfoA+,1
Day 6,LH115,pfoA+,1
Day 6,LH115,pfoA+,1
Day 6,LH115,pfoA+,1
Day 6,LH115,pfoA+,1
Day 6,LH115,pfoA+,1
Day 6,IQ147,pfoA-,3300
Day 6,IQ147,pfoA-,6600
Day 6,IQ147,pfoA-,1
Day 6,IQ147,pfoA-,1
Day 6,IQ147,pfoA-,6600
Day 6,IQ133,pfoA-,1
Day 6,IQ133,pfoA-,1
Day 6,IQ133,pfoA-,1
Day 6,IQ133,pfoA-,1
Day 6,IQ133,pfoA-,1
Day 6,LH043,pfoA-,1
Day 6,LH043,pfoA-,1
Day 6,LH043,pfoA-,1
Day 6,LH043,pfoA-,1
Day 6,LH043,pfoA-,1
Day 7,IQ146,pfoA+,1
Day 7,IQ146,pfoA+,1
Day 7,IQ146,pfoA+,1
Day 7,IQ146,pfoA+,1
Day 7,IQ146,pfoA+,1
Day 7,IQ129,pfoA+,1
Day 7,IQ129,pfoA+,1000
Day 7,IQ129,pfoA+,1
Day 7,IQ129,pfoA+,1
Day 7,IQ129,pfoA+,1
Day 7,LH115,pfoA+,1000
Day 7,LH115,pfoA+,1
Day 7,LH115,pfoA+,1
Day 7,LH115,pfoA+,1
