,Group,Day,invsimp,shannon
G1AD0,Control,Day 0,1.277629851,0.536079034
G1AD2,Control,Day 2,1.432719704,0.765998455
G1AD6,Control,Day 6,1.24911613,0.501313838
G1BD0,Control,Day 0,1.358877459,0.708347505
G1BD2,Control,Day 2,1.287570414,0.60462928
G1BD6,Control,Day 6,1.303327184,0.67008764
G1CD0,Control,Day 0,1.999225196,1.177087419
G1CD2,Control,Day 2,4.132646382,1.743167001
G1CD6,Control,Day 6,1.603882825,0.944628684
G1DD0,Control,Day 0,1.360480905,0.720202015
G1DD2,Control,Day 2,1.515941817,0.851150587
G1DD6,Control,Day 6,1.525281851,0.857115585
G1ED0,Control,Day 0,1.1739659,0.404894517
G1ED2,Control,Day 2,2.691652711,1.468554009
G1ED6,Control,Day 6,1.815911966,1.115971465
G2AD0,ABX,Day 0,2.025966911,0.859326382
G2AD6,ABX,Day 6,2.644099001,1.294177032
G2BD0,ABX,Day 0,1.840591963,0.846095645
G2BD2,ABX,Day 2,2.865160417,1.327204233
G2BD6,ABX,Day 6,2.553361537,1.255177937
G2CD0,ABX,Day 0,2.511557698,1.139681952
G2CD2,ABX,Day 2,2.825256159,1.306852383
G2CD6,ABX,Day 6,3.274480145,1.295620146
G2DD0,ABX,Day 0,1.976853333,0.883297377
G2DD6,ABX,Day 6,2.718298609,1.200974259
G2ED0,ABX,Day 0,1.82911478,0.810084329
G2ED2,ABX,Day 2,2.915135432,1.331627591
G2ED6,ABX,Day 6,2.291685843,1.120797651
G3AD0,pfoA+,Day 0,2.787054073,1.128536407
G3AD2,pfoA+,Day 2,3.218376311,1.403142546
G3AD6,pfoA+,Day 6,2.83847952,1.12642985
G3BD0,pfoA+,Day 0,2.374356445,0.983590498
G3BD2,pfoA+,Day 2,3.500715243,1.452384394
G3BD6,pfoA+,Day 6,2.886571539,1.323874071
G3CD0,pfoA+,Day 0,2.341762682,0.96625748
G3CD2,pfoA+,Day 2,2.394081079,1.173331105
G3CD6,pfoA+,Day 6,3.660034367,1.485111925
G3DD0,pfoA+,Day 0,2.633009882,1.051322696
G3DD2,pfoA+,Day 2,2.694169543,1.20497146
G3DD6,pfoA+,Day 6,3.068820643,1.218729649
G3ED0,pfoA+,Day 0,2.611997038,1.097925307
G3ED2,pfoA+,Day 2,2.832384077,1.242189053
G3ED6,pfoA+,Day 6,3.03252742,1.182244881
G4AD0,pfoA+,Day 0,1.465341983,0.567221074
G4AD2,pfoA+,Day 2,2.378367419,1.067793803
G4BD0,pfoA+,Day 0,2.098842263,0.819901609
G4BD2,pfoA+,Day 2,2.994454371,1.226609935
G4BD6,pfoA+,Day 6,2.70464048,1.29944054
G4CD0,pfoA+,Day 0,2.07970531,0.798524568
G4CD2,pfoA+,Day 2,2.582835774,1.11654427
G4CD6,pfoA+,Day 6,3.000180733,1.376932631
G4DD0,pfoA+,Day 0,2.128554349,0.837863296
G4DD2,pfoA+,Day 2,3.033426104,1.298920289
G4DD6,pfoA+,Day 6,2.26919716,1.100686031
G4ED0,pfoA+,Day 0,2.307414011,1.013578655
G4ED2,pfoA+,Day 2,2.683926761,1.253413487
G4ED6,pfoA+,Day 6,3.239790477,1.346005686
G5AD0,pfoA+,Day 0,2.027399766,0.748018833
G5AD2,pfoA+,Day 2,2.372780272,1.077208522
G5AD6,pfoA+,Day 6,2.075272255,0.862351612
G5BD0,pfoA+,Day 0,2.058000452,0.782452997
G5BD2,pfoA+,Day 2,2.285132993,1.086632291
G5BD6,pfoA+,Day 6,2.015654267,0.890800142
G5CD0,pfoA+,Day 0,2.210297083,0.964639376
G5CD2,pfoA+,Day 2,2.502734265,1.097768239
G5CD6,pfoA+,Day 6,2.099991353,0.836183952
G5DD0,pfoA+,Day 0,1.355770119,0.559387311
G5DD2,pfoA+,Day 2,2.10044938,0.963970878
G5DD6,pfoA+,Day 6,1.598072421,0.66585249
G5ED0,pfoA+,Day 0,1.924050075,0.777376348
G5ED2,pfoA+,Day 2,2.449565179,1.11227708
G5ED6,pfoA+,Day 6,1.96592188,0.877528778
G6AD0,pfoA-,Day 0,2.064846625,0.895653551
G6AD2,pfoA-,Day 2,3.251550135,1.346295771
G6AD6,pfoA-,Day 6,3.123069857,1.287239474
G6BD0,pfoA-,Day 0,2.181904055,0.86565046
G6BD2,pfoA-,Day 2,2.895693174,1.364172562
G6BD6,pfoA-,Day 6,2.64231976,1.29868726
G6DD0,pfoA-,Day 0,2.274486364,0.910200018
G6DD2,pfoA-,Day 2,3.071906214,1.309077683
G6DD6,pfoA-,Day 6,2.279895235,1.107759557
G6ED0,pfoA-,Day 0,2.103492413,0.813975726
G6ED2,pfoA-,Day 2,3.033296713,1.284755546
G6ED6,pfoA-,Day 6,3.333408274,1.520657967
G7AD0,pfoA-,Day 0,2.183488223,0.882570157
G7AD2,pfoA-,Day 2,3.166524689,1.374161571
G7AD6,pfoA-,Day 6,3.382428823,1.45564695
G7BD0,pfoA-,Day 0,1.503684441,0.577240586
G7BD2,pfoA-,Day 2,3.321836558,1.360949046
G7BD6,pfoA-,Day 6,2.690234031,1.276799769
G7CD0,pfoA-,Day 0,2.520189922,1.09592648
G7CD2,pfoA-,Day 2,3.220302997,1.341545597
G7CD6,pfoA-,Day 6,3.271009174,1.308220819
G7DD0,pfoA-,Day 0,2.536873143,1.042488719
G7DD2,pfoA-,Day 2,3.09061392,1.310019099
G7DD6,pfoA-,Day 6,2.79234303,1.119601364
G7ED0,pfoA-,Day 0,2.12665563,0.89264558
G7ED2,pfoA-,Day 2,3.710401866,1.458471936
G7ED6,pfoA-,Day 6,2.497381308,1.227351168
G8AD0,pfoA-,Day 0,3.235493286,1.243774894
G8AD2,pfoA-,Day 2,3.20874174,1.353846723
G8AD6,pfoA-,Day 6,3.47616899,1.394909283
G8BD0,pfoA-,Day 0,2.421684718,1.063565663
G8BD2,pfoA-,Day 2,3.451813525,1.419190061
G8BD6,pfoA-,Day 6,2.572260231,1.102091382
G8CD0,pfoA-,Day 0,2.818255695,1.157050611
G8CD2,pfoA-,Day 2,2.823685589,1.229505043
G8CD6,pfoA-,Day 6,2.871937719,1.241993288
G8DD0,pfoA-,Day 0,2.444885476,1.049846021
G8DD2,pfoA-,Day 2,3.423757126,1.396949067
G8DD6,pfoA-,Day 6,2.568059999,1.18067898
G8ED0,pfoA-,Day 0,2.973954441,1.17064167
G8ED2,pfoA-,Day 2,2.919173568,1.300941113
G8ED6,pfoA-,Day 6,2.642187995,1.188496125
