Group,Cryptlength
Control,167.2473868
Control,148.0836237
Control,120.2090592
Control,116.7247387
Control,154.1811847
Control,166.3763066
Control,125.4355401
Control,153.3101045
Control,202.9616725
Control,168.989547
Control,174.2160279
Control,197.7351916
Control,189.8954704
Control,199.4773519
Control,113.2404181
Control,134.1463415
Control,122.8222997
Control,114.9825784
Control,146.3414634
Control,135.8885017
ABX,210.738676
ABX,187.28223
ABX,189.0243902
ABX,190.9059233
ABX,141.9860627
ABX,200.738676
ABX,191.6376307
ABX,166.3763066
ABX,182.9268293
ABX,202.0905923
ABX,140.7979094
ABX,121.9512195
ABX,121.0801394
ABX,189.8954704
ABX,150.3135889
ABX,121.0801394
ABX,190.7665505
ABX,180.3135889
ABX,193.3797909
ABX,186.4111498
pfoA+,280.4878049
pfoA+,259.5818815
pfoA+,259.5818815
pfoA+,251.7421603
pfoA+,255.2264808
pfoA+,265.6794425
pfoA+,262.195122
pfoA+,247.3867596
pfoA+,277.8745645
pfoA+,249.1289199
pfoA+,251.7421603
pfoA+,222.9965157
pfoA+,254.3554007
pfoA+,272.6480836
pfoA+,281.358885
pfoA+,270.0348432
pfoA+,270.9059233
pfoA+,276.1324042
pfoA+,234.3205575
pfoA+,222.1254355
pfoA+,217.7700348
pfoA+,218.641115
pfoA+,204.7038328
pfoA+,178.5714286
pfoA+,194.2508711
pfoA+,193.3797909
pfoA+,196.8641115
pfoA+,193.3797909
pfoA+,218.641115
pfoA+,209.9303136
pfoA+,181.184669
pfoA+,146.3414634
pfoA+,184.6689895
pfoA+,190.7665505
pfoA+,159.4076655
pfoA+,219.5121951
pfoA+,177.7003484
pfoA+,139.3728223
pfoA+,208.1881533
pfoA+,229.9651568
pfoA+,216.8989547
pfoA+,222.1254355
pfoA+,177.7003484
pfoA+,168.989547
pfoA+,167.2473868
pfoA+,151.5679443
pfoA+,156.7944251
pfoA+,143.728223
pfoA+,199.4773519
pfoA+,223.8675958
pfoA+,191.6376307
pfoA+,202.0905923
pfoA+,168.989547
pfoA+,181.184669
pfoA+,166.3763066
pfoA+,155.0522648
pfoA+,168.1184669
pfoA+,146.3414634
pfoA+,137.630662
pfoA+,184.6689895
pfoA-,230.8362369
pfoA-,189.0243902
pfoA-,202.0905923
pfoA-,172.4738676
pfoA-,168.989547
pfoA-,175.9581882
pfoA-,167.2473868
pfoA-,128.9198606
pfoA-,145.4703833
pfoA-,134.1463415
pfoA-,134.1463415
pfoA-,181.184669
pfoA-,124.5644599
pfoA-,111.4982578
pfoA-,176.8292683
pfoA-,191.6376307
pfoA-,195.1219512
pfoA-,131.533101
pfoA-,170.7317073
pfoA-,153.3101045
pfoA-,126.3066202
pfoA-,128.9198606
pfoA-,146.3414634
pfoA-,136.7595819
pfoA-,131.533101
pfoA-,121.0801394
pfoA-,141.1149826
pfoA-,128.9198606
pfoA-,139.3728223
pfoA-,175.9581882
pfoA-,158.5365854
pfoA-,183.7979094
pfoA-,187.28223
pfoA-,127.1777003
pfoA-,123.6933798
pfoA-,135.0174216
pfoA-,140.2439024
pfoA-,121.0801394
pfoA-,155.9233449
pfoA-,176.8292683
pfoA-,182.9268293
pfoA-,217.7700348
pfoA-,176.8292683
pfoA-,179.4425087
pfoA-,178.5714286
pfoA-,155.9233449
pfoA-,189.8954704
pfoA-,125.4355401
pfoA-,172.4738676
pfoA-,167.2473868
pfoA-,192.5087108
pfoA-,153.3101045
pfoA-,125.4355401
pfoA-,125.4355401
pfoA-,134.1463415
pfoA-,155.0522648
pfoA-,138.5017422
pfoA-,155.9233449
pfoA-,141.9860627
pfoA-,148.0836237
