Group,Infiltration,Hyperplasia,Architecture,Total
pfoA+,2.5,3.5,3,9
pfoA+,3.5,3,3.5,10
pfoA+,3,3.5,4,10.5
pfoA+,3,3,3.5,9.5
pfoA+,3.5,3,3.5,10
pfoA+,3.5,4,4,11.5
pfoA+,3.5,3.5,4,11
pfoA+,3.5,3,3.5,10
pfoA+,3,3.5,3.5,10
pfoA+,3,4,3.5,10.5
pfoA-,2.5,2.5,2.5,7.5
pfoA-,2,2,2.5,6.5
pfoA-,2.5,2.5,2.5,7.5
pfoA-,2,3,2,7
pfoA-,2,2,2,6
Control,0,0,0,0
Control,1,0,1,2
Control,1,0,0,1
Control,1,1,1,3
Control,0,0,0,0
pfoA-,2,1.5,1.5,5
pfoA-,1,1.5,1.5,4
pfoA-,1.5,2,2.5,6
pfoA-,1.5,2,2.5,6
pfoA-,1,2.5,2.5,6
ABX,1,1,1,3
ABX,0,1.5,1,2.5
ABX,1,1.5,1,3.5
ABX,1,2,1,4
ABX,1,2,2,5
pfoA-,2,2,2,6
pfoA-,3,2.5,2.5,8
pfoA-,2,2,2,6
pfoA-,2,2.5,2.5,7
pfoA-,2,3.5,3,8.5
pfoA+,3.5,4.5,4,12
pfoA+,3.5,3,3.5,10
pfoA+,3.5,4.5,4,12
pfoA+,3.5,4,4,11.5
pfoA+,3.5,4,4,11.5
