Group,value
Control,0
Control,7.182320442
Control,7.446808511
Control,11.23595506
Control,7.317073171
ABX,-3.448275862
ABX,5
ABX,9.411764706
ABX,5.586592179
ABX,-1.092896175
pfoA+,3.067484663
pfoA+,1.546391753
pfoA+,0
pfoA+,1.03626943
pfoA+,5.128205128
pfoA+,-2.617801047
pfoA+,-1.470588235
pfoA+,-1.020408163
pfoA+,1.01010101
pfoA+,-0.568181818
pfoA+,0
pfoA+,5.056179775
pfoA+,7.407407407
pfoA+,2.857142857
pfoA+,2.173913043
pfoA-,1.704545455
pfoA-,2.173913043
pfoA-,-0.537634409
pfoA-,4.046242775
pfoA-,5
pfoA-,0
pfoA-,2.873563218
pfoA-,6.50887574
pfoA-,4.624277457
pfoA-,7.058823529
pfoA-,4.294478528
pfoA-,1.904761905
pfoA-,1.234567901
pfoA-,3.910614525
pfoA-,0
