Group,Weight
Control,160.54
Control,198.17
Control,164.22
Control,155.9
Control,172.93
ABX,169.74
ABX,169.83
ABX,182.65
ABX,169.48
ABX,160.61
pfoA+,168.07
pfoA+,165.06
pfoA+,222.74
pfoA+,176.46
pfoA+,159.73
pfoA+,204.17
pfoA+,239.5
pfoA+,177.48
pfoA+,173.3
pfoA+,111.59
pfoA+,150.29
pfoA+,184.65
pfoA+,149.17
pfoA+,152.31
pfoA+,230.06
pfoA-,154.75
pfoA-,223.49
pfoA-,170.04
pfoA-,144.6
pfoA-,159.99
pfoA-,146
pfoA-,117.58
pfoA-,174.54
pfoA-,158.98
pfoA-,158.58
pfoA-,172.5
pfoA-,130.87
pfoA-,173.52
pfoA-,241.25
