Assay,Group,Value
IFN-g,Control,2.292728493
IFN-g,Control,2.292728493
IFN-g,Control,4.444502824
IFN-g,Control,4.444502824
IFN-g,Control,1.967346954
IFN-g,Control,1.967346954
IFN-g,Control,1.320440206
IFN-g,Control,1.320440206
IFN-g,Control,1.991029853
IFN-g,Control,1.991029853
IFN-g,ABX,1.963842688
IFN-g,ABX,1.963842688
IFN-g,ABX,2.698333991
IFN-g,ABX,2.698333991
IFN-g,ABX,3.758971467
IFN-g,ABX,3.758971467
IFN-g,ABX,1.681278333
IFN-g,ABX,1.681278333
IFN-g,ABX,1.582806779
IFN-g,ABX,1.582806779
IFN-g,pfoA+,2.582789329
IFN-g,pfoA+,2.582789329
IFN-g,pfoA+,4.694052067
IFN-g,pfoA+,4.694052067
IFN-g,pfoA+,2.181403789
IFN-g,pfoA+,2.417718434
IFN-g,pfoA+,2.417718434
IFN-g,pfoA+,10.40270967
IFN-g,pfoA+,10.40270967
IFN-g,pfoA+,2.157318354
IFN-g,pfoA+,2.157318354
IFN-g,pfoA+,1.872555354
IFN-g,pfoA+,1.872555354
IFN-g,pfoA+,1.487188183
IFN-g,pfoA+,1.487188183
IFN-g,pfoA+,3.609499432
IFN-g,pfoA+,3.609499432
IFN-g,pfoA+,5.514464776
IFN-g,pfoA+,5.514464776
IFN-g,pfoA+,0.9816355
IFN-g,pfoA+,1.434225705
IFN-g,pfoA+,1.434225705
IFN-g,pfoA+,1.82419118
IFN-g,pfoA+,1.82419118
IFN-g,pfoA+,7.098561287
IFN-g,pfoA+,7.098561287
IFN-g,pfoA+,3.37606078
IFN-g,pfoA+,3.37606078
IFN-g,pfoA-,0.763005051
IFN-g,pfoA-,0.763005051
IFN-g,pfoA-,2.369797259
IFN-g,pfoA-,2.369797259
IFN-g,pfoA-,1.847912376
IFN-g,pfoA-,1.847912376
IFN-g,pfoA-,2.935224517
IFN-g,pfoA-,20.80599238
IFN-g,pfoA-,20.80599238
IFN-g,pfoA-,0.902615663
IFN-g,pfoA-,0.902615663
IFN-g,pfoA-,3.002651263
IFN-g,pfoA-,3.002651263
IFN-g,pfoA-,3.309331909
IFN-g,pfoA-,3.309331909
IFN-g,pfoA-,1.896381022
IFN-g,pfoA-,3.098555889
IFN-g,pfoA-,3.098555889
IFN-g,pfoA-,0.857766518
IFN-g,pfoA-,0.857766518
IFN-g,pfoA-,2.01469426
IFN-g,pfoA-,2.01469426
IFN-g,pfoA-,2.606179334
IFN-g,pfoA-,2.606179334
IFN-g,pfoA-,0.510244856
IFN-g,pfoA-,0.510244856
IFN-g,pfoA-,3.259077664
IFN-g,pfoA-,3.259077664
IL-10,Control,2.926553086
IL-10,Control,2.926553086
IL-10,Control,2.031107077
IL-10,Control,2.031107077
IL-10,Control,1.486209742
IL-10,Control,1.486209742
IL-10,Control,1.831916569
IL-10,Control,1.831916569
IL-10,Control,1.632423974
IL-10,Control,1.632423974
IL-10,ABX,2.574155604
IL-10,ABX,2.574155604
IL-10,ABX,2.677457113
IL-10,ABX,2.677457113
IL-10,ABX,4.112778064
IL-10,ABX,4.112778064
IL-10,ABX,0
IL-10,ABX,0
IL-10,ABX,2.380991657
IL-10,ABX,2.380991657
IL-10,pfoA+,2.671226959
IL-10,pfoA+,2.671226959
IL-10,pfoA+,3.618720228
IL-10,pfoA+,3.618720228
IL-10,pfoA+,6.625174042
IL-10,pfoA+,3.272195142
IL-10,pfoA+,3.272195142
IL-10,pfoA+,2.132938012
IL-10,pfoA+,2.132938012
IL-10,pfoA+,5.246200062
IL-10,pfoA+,5.246200062
IL-10,pfoA+,1.436092717
IL-10,pfoA+,1.436092717
IL-10,pfoA+,3.519652099
IL-10,pfoA+,3.519652099
IL-10,pfoA+,4.094253784
IL-10,pfoA+,4.094253784
IL-10,pfoA+,6.604872174
IL-10,pfoA+,6.604872174
IL-10,pfoA+,0
IL-10,pfoA+,0
IL-10,pfoA+,0
IL-10,pfoA+,0.484970851
IL-10,pfoA+,0.484970851
IL-10,pfoA+,1.833397998
IL-10,pfoA+,1.833397998
IL-10,pfoA+,3.271684244
IL-10,pfoA+,3.271684244
IL-10,pfoA-,1.292866939
IL-10,pfoA-,1.292866939
IL-10,pfoA-,0
IL-10,pfoA-,0
IL-10,pfoA-,3.322393118
IL-10,pfoA-,3.322393118
IL-10,pfoA-,0.384554173
IL-10,pfoA-,20.89213489
IL-10,pfoA-,20.89213489
IL-10,pfoA-,1.97900769
IL-10,pfoA-,1.97900769
IL-10,pfoA-,1.78499365
IL-10,pfoA-,1.78499365
IL-10,pfoA-,2.131482675
IL-10,pfoA-,2.131482675
IL-10,pfoA-,2.877057891
IL-10,pfoA-,4.507474973
IL-10,pfoA-,4.507474973
IL-10,pfoA-,2.728415719
IL-10,pfoA-,2.728415719
IL-10,pfoA-,3.37202487
IL-10,pfoA-,3.37202487
IL-10,pfoA-,4.310679527
IL-10,pfoA-,4.310679527
IL-10,pfoA-,0
IL-10,pfoA-,0
IL-10,pfoA-,3.668231184
IL-10,pfoA-,3.668231184
IL-12p70,Control,4.593442209
IL-12p70,Control,4.593442209
IL-12p70,Control,0
IL-12p70,Control,0
IL-12p70,Control,0
IL-12p70,Control,0
IL-12p70,Control,0
IL-12p70,Control,0
IL-12p70,Control,0
IL-12p70,Control,0
IL-12p70,ABX,0
IL-12p70,ABX,0
IL-12p70,ABX,3.834555329
IL-12p70,ABX,3.834555329
IL-12p70,ABX,10.43112335
IL-12p70,ABX,10.43112335
IL-12p70,ABX,0
IL-12p70,ABX,0
IL-12p70,ABX,4.698681614
IL-12p70,ABX,4.698681614
IL-12p70,pfoA+,4.094003611
IL-12p70,pfoA+,4.094003611
IL-12p70,pfoA+,9.005511064
IL-12p70,pfoA+,9.005511064
IL-12p70,pfoA+,0.85251131
IL-12p70,pfoA+,0
IL-12p70,pfoA+,0
IL-12p70,pfoA+,0
IL-12p70,pfoA+,0
IL-12p70,pfoA+,4.325776618
IL-12p70,pfoA+,4.325776618
IL-12p70,pfoA+,7.686802922
IL-12p70,pfoA+,7.686802922
IL-12p70,pfoA+,2.855606685
IL-12p70,pfoA+,2.855606685
IL-12p70,pfoA+,11.90747001
IL-12p70,pfoA+,11.90747001
IL-12p70,pfoA+,0
IL-12p70,pfoA+,0
IL-12p70,pfoA+,0
IL-12p70,pfoA+,0
IL-12p70,pfoA+,0
IL-12p70,pfoA+,0
IL-12p70,pfoA+,0
IL-12p70,pfoA+,0
IL-12p70,pfoA+,0
IL-12p70,pfoA+,0
IL-12p70,pfoA+,0
IL-12p70,pfoA-,0
IL-12p70,pfoA-,0
IL-12p70,pfoA-,7.855010924
IL-12p70,pfoA-,7.855010924
IL-12p70,pfoA-,0
IL-12p70,pfoA-,0
IL-12p70,pfoA-,0
IL-12p70,pfoA-,42.14953063
IL-12p70,pfoA-,42.14953063
IL-12p70,pfoA-,0
IL-12p70,pfoA-,0
IL-12p70,pfoA-,5.594096343
IL-12p70,pfoA-,5.594096343
IL-12p70,pfoA-,0
IL-12p70,pfoA-,0
IL-12p70,pfoA-,4.85870206
IL-12p70,pfoA-,0
IL-12p70,pfoA-,0
IL-12p70,pfoA-,0
IL-12p70,pfoA-,0
IL-12p70,pfoA-,2.075867729
IL-12p70,pfoA-,2.075867729
IL-12p70,pfoA-,0
IL-12p70,pfoA-,0
IL-12p70,pfoA-,0
IL-12p70,pfoA-,0
IL-12p70,pfoA-,0
IL-12p70,pfoA-,0
IL-17,Control,1.57271026
IL-17,Control,1.57271026
IL-17,Control,1.509179827
IL-17,Control,1.509179827
IL-17,Control,1.805090112
IL-17,Control,1.805090112
IL-17,Control,1.613780774
IL-17,Control,1.613780774
IL-17,Control,0.851045329
IL-17,Control,0.851045329
IL-17,ABX,3.84525078
IL-17,ABX,3.84525078
IL-17,ABX,1.656658965
IL-17,ABX,1.656658965
IL-17,ABX,2.477798287
IL-17,ABX,2.477798287
IL-17,ABX,1.614243931
IL-17,ABX,1.614243931
IL-17,ABX,1.972917008
IL-17,ABX,1.972917008
IL-17,pfoA+,4.913150263
IL-17,pfoA+,4.913150263
IL-17,pfoA+,2.037196292
IL-17,pfoA+,2.037196292
IL-17,pfoA+,7.273043905
IL-17,pfoA+,1.91069644
IL-17,pfoA+,1.91069644
IL-17,pfoA+,5.2894004
IL-17,pfoA+,5.2894004
IL-17,pfoA+,2.87938919
IL-17,pfoA+,2.87938919
IL-17,pfoA+,1.868538562
IL-17,pfoA+,1.868538562
IL-17,pfoA+,3.236680263
IL-17,pfoA+,3.236680263
IL-17,pfoA+,2.057194206
IL-17,pfoA+,2.057194206
IL-17,pfoA+,4.747177107
IL-17,pfoA+,4.747177107
IL-17,pfoA+,0.554128871
IL-17,pfoA+,0
IL-17,pfoA+,0
IL-17,pfoA+,0
IL-17,pfoA+,0
IL-17,pfoA+,1.191860665
IL-17,pfoA+,1.191860665
IL-17,pfoA+,2.079453197
IL-17,pfoA+,2.079453197
IL-17,pfoA-,1.409096005
IL-17,pfoA-,1.409096005
IL-17,pfoA-,1.255154009
IL-17,pfoA-,1.255154009
IL-17,pfoA-,1.509103118
IL-17,pfoA-,1.509103118
IL-17,pfoA-,2.753360405
IL-17,pfoA-,3.170763074
IL-17,pfoA-,3.170763074
IL-17,pfoA-,1.424023009
IL-17,pfoA-,1.424023009
IL-17,pfoA-,0.808899017
IL-17,pfoA-,0.808899017
IL-17,pfoA-,1.677735334
IL-17,pfoA-,1.677735334
IL-17,pfoA-,2.33241119
IL-17,pfoA-,4.913189271
IL-17,pfoA-,4.913189271
IL-17,pfoA-,1.254832374
IL-17,pfoA-,1.254832374
IL-17,pfoA-,3.06849204
IL-17,pfoA-,3.06849204
IL-17,pfoA-,1.762139367
IL-17,pfoA-,1.762139367
IL-17,pfoA-,1.359477439
IL-17,pfoA-,1.359477439
IL-17,pfoA-,2.120924609
IL-17,pfoA-,2.120924609
IL-1b,Control,23.95801224
IL-1b,Control,23.95801224
IL-1b,Control,36.82256224
IL-1b,Control,36.82256224
IL-1b,Control,46.37426165
IL-1b,Control,46.37426165
IL-1b,Control,19.18293554
IL-1b,Control,19.18293554
IL-1b,Control,15.05708441
IL-1b,Control,15.05708441
IL-1b,ABX,102.7664075
IL-1b,ABX,102.7664075
IL-1b,ABX,51.32752471
IL-1b,ABX,51.32752471
IL-1b,ABX,94.90260081
IL-1b,ABX,94.90260081
IL-1b,ABX,15.15049081
IL-1b,ABX,15.15049081
IL-1b,ABX,57.80860681
IL-1b,ABX,57.80860681
IL-1b,pfoA+,47.53122556
IL-1b,pfoA+,47.53122556
IL-1b,pfoA+,88.59559143
IL-1b,pfoA+,88.59559143
IL-1b,pfoA+,71.81823246
IL-1b,pfoA+,14.83698912
IL-1b,pfoA+,14.83698912
IL-1b,pfoA+,156.2266202
IL-1b,pfoA+,156.2266202
IL-1b,pfoA+,29.83780968
IL-1b,pfoA+,29.83780968
IL-1b,pfoA+,34.18260725
IL-1b,pfoA+,34.18260725
IL-1b,pfoA+,52.17653647
IL-1b,pfoA+,52.17653647
IL-1b,pfoA+,21.36177383
IL-1b,pfoA+,21.36177383
IL-1b,pfoA+,58.28417319
IL-1b,pfoA+,58.28417319
IL-1b,pfoA+,27.95767153
IL-1b,pfoA+,65.37214122
IL-1b,pfoA+,65.37214122
IL-1b,pfoA+,17.73049636
IL-1b,pfoA+,17.73049636
IL-1b,pfoA+,35.35392293
IL-1b,pfoA+,35.35392293
IL-1b,pfoA+,52.46039428
IL-1b,pfoA+,52.46039428
IL-1b,pfoA-,22.48191254
IL-1b,pfoA-,22.48191254
IL-1b,pfoA-,52.64873926
IL-1b,pfoA-,52.64873926
IL-1b,pfoA-,36.79086289
IL-1b,pfoA-,36.79086289
IL-1b,pfoA-,27.13123011
IL-1b,pfoA-,47.26136041
IL-1b,pfoA-,47.26136041
IL-1b,pfoA-,25.57519441
IL-1b,pfoA-,25.57519441
IL-1b,pfoA-,50.46508923
IL-1b,pfoA-,50.46508923
IL-1b,pfoA-,32.32100725
IL-1b,pfoA-,32.32100725
IL-1b,pfoA-,17.50981658
IL-1b,pfoA-,48.20649845
IL-1b,pfoA-,48.20649845
IL-1b,pfoA-,18.36083037
IL-1b,pfoA-,18.36083037
IL-1b,pfoA-,45.34954548
IL-1b,pfoA-,45.34954548
IL-1b,pfoA-,58.81810818
IL-1b,pfoA-,58.81810818
IL-1b,pfoA-,28.49840491
IL-1b,pfoA-,28.49840491
IL-1b,pfoA-,51.61927266
IL-1b,pfoA-,51.61927266
IL-22,Control,0
IL-22,Control,0
IL-22,Control,0
IL-22,Control,0
IL-22,Control,0
IL-22,Control,0
IL-22,Control,0
IL-22,Control,0
IL-22,Control,0
IL-22,Control,0
IL-22,ABX,0
IL-22,ABX,0
IL-22,ABX,0
IL-22,ABX,0
IL-22,ABX,12.67304237
IL-22,ABX,12.67304237
IL-22,ABX,0
IL-22,ABX,0
IL-22,ABX,0
IL-22,ABX,0
IL-22,pfoA+,535.6291333
IL-22,pfoA+,535.6291333
IL-22,pfoA+,3.175758361
IL-22,pfoA+,3.175758361
IL-22,pfoA+,6.556099566
IL-22,pfoA+,0
IL-22,pfoA+,0
IL-22,pfoA+,8.906640452
IL-22,pfoA+,8.906640452
IL-22,pfoA+,0
IL-22,pfoA+,0
IL-22,pfoA+,0
IL-22,pfoA+,0
IL-22,pfoA+,10.10811077
IL-22,pfoA+,10.10811077
IL-22,pfoA+,0
IL-22,pfoA+,0
IL-22,pfoA+,0
IL-22,pfoA+,0
IL-22,pfoA+,0
IL-22,pfoA+,0
IL-22,pfoA+,0
IL-22,pfoA+,0
IL-22,pfoA+,0
IL-22,pfoA+,0
IL-22,pfoA+,0
IL-22,pfoA+,0
IL-22,pfoA+,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,41.29273168
IL-22,pfoA-,41.29273168
