Assay,Sample,RawMean,Factor,Mean
IFN-_,Control,0.229272849,10,2.292728493
IFN-_,Control,0.229272849,10,2.292728493
IFN-_,Control,0.444450282,10,4.444502824
IFN-_,Control,0.444450282,10,4.444502824
IFN-_,Control,0.196734695,10,1.967346954
IFN-_,Control,0.196734695,10,1.967346954
IFN-_,Control,0.132044021,10,1.320440206
IFN-_,Control,0.132044021,10,1.320440206
IFN-_,Control,0.199102985,10,1.991029853
IFN-_,Control,0.199102985,10,1.991029853
IFN-_,ABX,0.196384269,10,1.963842688
IFN-_,ABX,0.196384269,10,1.963842688
IFN-_,ABX,0.269833399,10,2.698333991
IFN-_,ABX,0.269833399,10,2.698333991
IFN-_,ABX,0.375897147,10,3.758971467
IFN-_,ABX,0.375897147,10,3.758971467
IFN-_,ABX,0.168127833,10,1.681278333
IFN-_,ABX,0.168127833,10,1.681278333
IFN-_,ABX,0.158280678,10,1.582806779
IFN-_,ABX,0.158280678,10,1.582806779
IFN-_,pfoA+,0.258278933,10,2.582789329
IFN-_,pfoA+,0.258278933,10,2.582789329
IFN-_,pfoA+,0.469405207,10,4.694052067
IFN-_,pfoA+,0.469405207,10,4.694052067
IFN-_,pfoA+,0.218140379,10,2.181403789
IFN-_,pfoA+,0.241771843,10,2.417718434
IFN-_,pfoA+,0.241771843,10,2.417718434
IFN-_,pfoA+,1.040270967,10,10.40270967
IFN-_,pfoA+,1.040270967,10,10.40270967
IFN-_,pfoA+,0.215731835,10,2.157318354
IFN-_,pfoA+,0.215731835,10,2.157318354
IFN-_,pfoA+,0.187255535,10,1.872555354
IFN-_,pfoA+,0.187255535,10,1.872555354
IFN-_,pfoA+,0.148718818,10,1.487188183
IFN-_,pfoA+,0.148718818,10,1.487188183
IFN-_,pfoA+,0.360949943,10,3.609499432
IFN-_,pfoA+,0.360949943,10,3.609499432
IFN-_,pfoA+,0.153179577,36,5.514464776
IFN-_,pfoA+,0.153179577,36,5.514464776
IFN-_,pfoA+,0.09816355,10,0.9816355
IFN-_,pfoA+,0.143422571,10,1.434225705
IFN-_,pfoA+,0.143422571,10,1.434225705
IFN-_,pfoA+,0.182419118,10,1.82419118
IFN-_,pfoA+,0.182419118,10,1.82419118
IFN-_,pfoA+,0.709856129,10,7.098561287
IFN-_,pfoA+,0.709856129,10,7.098561287
IFN-_,pfoA+,0.337606078,10,3.37606078
IFN-_,pfoA+,0.337606078,10,3.37606078
IFN-_,pfoA-,0.061040404,12.5,0.763005051
IFN-_,pfoA-,0.061040404,12.5,0.763005051
