,Real,ImageJ,factor
Scale,500,574,1.148
Control,167.2473868,192,1.148
Control,148.0836237,170,1.148
Control,120.2090592,138,1.148
Control,116.7247387,134,1.148
Control,154.1811847,177,1.148
Control,166.3763066,191,1.148
Control,125.4355401,144,1.148
Control,153.3101045,176,1.148
Control,202.9616725,233,1.148
Control,168.989547,194,1.148
Control,174.2160279,200,1.148
Control,197.7351916,227,1.148
Control,189.8954704,218,1.148
Control,199.4773519,229,1.148
Control,113.2404181,130,1.148
Control,134.1463415,154,1.148
Control,122.8222997,141,1.148
Control,114.9825784,132,1.148
Control,146.3414634,168,1.148
Control,135.8885017,156,1.148
ABX,224.738676,258,1.148
ABX,187.28223,215,1.148
ABX,189.0243902,217,1.148
ABX,270.9059233,311,1.148
ABX,141.9860627,163,1.148
ABX,224.738676,258,1.148
ABX,191.6376307,220,1.148
ABX,166.3763066,191,1.148
ABX,182.9268293,210,1.148
ABX,202.0905923,232,1.148
ABX,183.7979094,211,1.148
ABX,121.9512195,140,1.148
ABX,121.0801394,139,1.148
ABX,189.8954704,218,1.148
ABX,180.3135889,207,1.148
ABX,121.0801394,139,1.148
ABX,190.7665505,219,1.148
ABX,180.3135889,207,1.148
ABX,193.3797909,222,1.148
ABX,186.4111498,214,1.148
IQ146,280.4878049,322,1.148
IQ146,259.5818815,298,1.148
IQ146,259.5818815,298,1.148
IQ146,251.7421603,289,1.148
IQ146,255.2264808,293,1.148
IQ146,265.6794425,305,1.148
IQ146,262.195122,301,1.148
IQ146,247.3867596,284,1.148
IQ146,277.8745645,319,1.148
IQ146,249.1289199,286,1.148
IQ146,251.7421603,289,1.148
IQ146,222.9965157,256,1.148
IQ146,254.3554007,292,1.148
IQ146,272.6480836,313,1.148
IQ146,281.358885,323,1.148
IQ146,270.0348432,310,1.148
IQ146,270.9059233,311,1.148
IQ146,276.1324042,317,1.148
IQ146,234.3205575,269,1.148
IQ146,222.1254355,255,1.148
IQ129,217.7700348,250,1.148
IQ129,218.641115,251,1.148
IQ129,204.7038328,235,1.148
IQ129,178.5714286,205,1.148
IQ129,194.2508711,223,1.148
IQ129,193.3797909,222,1.148
IQ129,196.8641115,226,1.148
IQ129,193.3797909,222,1.148
IQ129,218.641115,251,1.148
IQ129,209.9303136,241,1.148
IQ129,181.184669,208,1.148
IQ129,146.3414634,168,1.148
IQ129,184.6689895,212,1.148
IQ129,190.7665505,219,1.148
IQ129,159.4076655,183,1.148
IQ129,219.5121951,252,1.148
IQ129,177.7003484,204,1.148
IQ129,139.3728223,160,1.148
IQ129,208.1881533,239,1.148
IQ129,229.9651568,264,1.148
LH115,216.8989547,249,1.148
LH115,222.1254355,255,1.148
LH115,177.7003484,204,1.148
LH115,168.989547,194,1.148
LH115,167.2473868,192,1.148
LH115,151.5679443,174,1.148
LH115,156.7944251,180,1.148
LH115,143.728223,165,1.148
LH115,199.4773519,229,1.148
LH115,223.8675958,257,1.148
LH115,191.6376307,220,1.148
LH115,202.0905923,232,1.148
LH115,168.989547,194,1.148
LH115,181.184669,208,1.148
LH115,166.3763066,191,1.148
LH115,155.0522648,178,1.148
LH115,168.1184669,193,1.148
LH115,146.3414634,168,1.148
LH115,137.630662,158,1.148
LH115,184.6689895,212,1.148
IQ147,230.8362369,265,1.148
IQ147,189.0243902,217,1.148
IQ147,202.0905923,232,1.148
IQ147,172.4738676,198,1.148
IQ147,168.989547,194,1.148
IQ147,175.9581882,202,1.148
IQ147,167.2473868,192,1.148
IQ147,128.9198606,148,1.148
IQ147,145.4703833,167,1.148
IQ147,134.1463415,154,1.148
IQ147,134.1463415,154,1.148
IQ147,181.184669,208,1.148
IQ147,124.5644599,143,1.148
IQ147,111.4982578,128,1.148
IQ147,176.8292683,203,1.148
IQ147,191.6376307,220,1.148
IQ147,195.1219512,224,1.148
IQ147,131.533101,151,1.148
IQ147,170.7317073,196,1.148
IQ147,153.3101045,176,1.148
IQ133,126.3066202,145,1.148
IQ133,128.9198606,148,1.148
IQ133,146.3414634,168,1.148
IQ133,136.7595819,157,1.148
IQ133,131.533101,151,1.148
IQ133,121.0801394,139,1.148
IQ133,141.1149826,162,1.148
IQ133,128.9198606,148,1.148
IQ133,139.3728223,160,1.148
IQ133,175.9581882,202,1.148
IQ133,158.5365854,182,1.148
IQ133,183.7979094,211,1.148
IQ133,187.28223,215,1.148
IQ133,127.1777003,146,1.148
IQ133,123.6933798,142,1.148
IQ133,135.0174216,155,1.148
IQ133,140.2439024,161,1.148
IQ133,121.0801394,139,1.148
IQ133,155.9233449,179,1.148
IQ133,176.8292683,203,1.148
LH043,182.9268293,210,1.148
LH043,217.7700348,250,1.148
LH043,176.8292683,203,1.148
LH043,179.4425087,206,1.148
LH043,178.5714286,205,1.148
LH043,155.9233449,179,1.148
LH043,189.8954704,218,1.148
LH043,125.4355401,144,1.148
LH043,172.4738676,198,1.148
LH043,167.2473868,192,1.148
LH043,192.5087108,221,1.148
LH043,153.3101045,176,1.148
LH043,125.4355401,144,1.148
LH043,125.4355401,144,1.148
LH043,134.1463415,154,1.148
LH043,155.0522648,178,1.148
LH043,138.5017422,159,1.148
LH043,155.9233449,179,1.148
LH043,141.9860627,163,1.148
LH043,148.0836237,170,1.148
