Group,pfoA,Score
Control,Control,0
Control,Control,2
Control,Control,1
Control,Control,3
Control,Control,0
ABX,ABX,3
ABX,ABX,2.5
ABX,ABX,3.5
ABX,ABX,4
ABX,ABX,5
IQ146,pfoA+,9
IQ146,pfoA+,10
IQ146,pfoA+,10.5
IQ146,pfoA+,9.5
IQ146,pfoA+,10
IQ129,pfoA+,12
IQ129,pfoA+,10
IQ129,pfoA+,12
IQ129,pfoA+,11.5
IQ129,pfoA+,11.5
LH115,pfoA+,11.5
LH115,pfoA+,11
LH115,pfoA+,10
LH115,pfoA+,10
LH115,pfoA+,10.5
IQ147,pfoA-,6
IQ147,pfoA-,8
IQ147,pfoA-,6
IQ147,pfoA-,7
IQ147,pfoA-,8.5
IQ133,pfoA-,5
IQ133,pfoA-,4
IQ133,pfoA-,6
IQ133,pfoA-,6
IQ133,pfoA-,6
LH043,pfoA-,7.5
LH043,pfoA-,6.5
LH043,pfoA-,7.5
LH043,pfoA-,7
LH043,pfoA-,6
