Individual,Strain,Group,Day
G1AD0,Control,Control,Day 0
G1AD2,Control,Control,Day 2
G1AD6,Control,Control,Day 6
G1BD0,Control,Control,Day 0
G1BD2,Control,Control,Day 2
G1BD6,Control,Control,Day 6
G1CD0,Control,Control,Day 0
G1CD2,Control,Control,Day 2
G1CD6,Control,Control,Day 6
G1DD0,Control,Control,Day 0
G1DD2,Control,Control,Day 2
G1DD6,Control,Control,Day 6
G1ED0,Control,Control,Day 0
G1ED2,Control,Control,Day 2
G1ED6,Control,Control,Day 6
G2AD0,ABX,ABX,Day 0
G2AD6,ABX,ABX,Day 6
G2BD0,ABX,ABX,Day 0
G2BD2,ABX,ABX,Day 2
G2BD6,ABX,ABX,Day 6
G2CD0,ABX,ABX,Day 0
G2CD2,ABX,ABX,Day 2
G2CD6,ABX,ABX,Day 6
G2DD0,ABX,ABX,Day 0
G2DD6,ABX,ABX,Day 6
G2ED0,ABX,ABX,Day 0
G2ED2,ABX,ABX,Day 2
G2ED6,ABX,ABX,Day 6
G3AD0,IQ146,pfoA+,Day 0
G3AD2,IQ146,pfoA+,Day 2
G3AD6,IQ146,pfoA+,Day 6
G3BD0,IQ146,pfoA+,Day 0
G3BD2,IQ146,pfoA+,Day 2
G3BD6,IQ146,pfoA+,Day 6
G3CD0,IQ146,pfoA+,Day 0
G3CD2,IQ146,pfoA+,Day 2
G3CD6,IQ146,pfoA+,Day 6
G3DD0,IQ146,pfoA+,Day 0
G3DD2,IQ146,pfoA+,Day 2
G3DD6,IQ146,pfoA+,Day 6
G3ED0,IQ146,pfoA+,Day 0
G3ED2,IQ146,pfoA+,Day 2
G3ED6,IQ146,pfoA+,Day 6
G4AD0,IQ129,pfoA+,Day 0
G4AD2,IQ129,pfoA+,Day 2
G4BD0,IQ129,pfoA+,Day 0
G4BD2,IQ129,pfoA+,Day 2
G4BD6,IQ129,pfoA+,Day 6
G4CD0,IQ129,pfoA+,Day 0
G4CD2,IQ129,pfoA+,Day 2
G4CD6,IQ129,pfoA+,Day 6
G4DD0,IQ129,pfoA+,Day 0
G4DD2,IQ129,pfoA+,Day 2
G4DD6,IQ129,pfoA+,Day 6
G4ED0,IQ129,pfoA+,Day 0
G4ED2,IQ129,pfoA+,Day 2
G4ED6,IQ129,pfoA+,Day 6
G5AD0,LH115,pfoA+,Day 0
G5AD2,LH115,pfoA+,Day 2
G5AD6,LH115,pfoA+,Day 6
G5BD0,LH115,pfoA+,Day 0
G5BD2,LH115,pfoA+,Day 2
G5BD6,LH115,pfoA+,Day 6
G5CD0,LH115,pfoA+,Day 0
G5CD2,LH115,pfoA+,Day 2
G5CD6,LH115,pfoA+,Day 6
G5DD0,LH115,pfoA+,Day 0
G5DD2,LH115,pfoA+,Day 2
G5DD6,LH115,pfoA+,Day 6
G5ED0,LH115,pfoA+,Day 0
G5ED2,LH115,pfoA+,Day 2
G5ED6,LH115,pfoA+,Day 6
G6AD0,IQ147,pfoA-,Day 0
G6AD2,IQ147,pfoA-,Day 2
G6AD6,IQ147,pfoA-,Day 6
G6BD0,IQ147,pfoA-,Day 0
G6BD2,IQ147,pfoA-,Day 2
G6BD6,IQ147,pfoA-,Day 6
G6DD0,IQ147,pfoA-,Day 0
G6DD2,IQ147,pfoA-,Day 2
G6DD6,IQ147,pfoA-,Day 6
G6ED0,IQ147,pfoA-,Day 0
G6ED2,IQ147,pfoA-,Day 2
G6ED6,IQ147,pfoA-,Day 6
G7AD0,IQ133,pfoA-,Day 0
G7AD2,IQ133,pfoA-,Day 2
G7AD6,IQ133,pfoA-,Day 6
G7BD0,IQ133,pfoA-,Day 0
G7BD2,IQ133,pfoA-,Day 2
G7BD6,IQ133,pfoA-,Day 6
G7CD0,IQ133,pfoA-,Day 0
G7CD2,IQ133,pfoA-,Day 2
G7CD6,IQ133,pfoA-,Day 6
G7DD0,IQ133,pfoA-,Day 0
G7DD2,IQ133,pfoA-,Day 2
G7DD6,IQ133,pfoA-,Day 6
G7ED0,IQ133,pfoA-,Day 0
G7ED2,IQ133,pfoA-,Day 2
G7ED6,IQ133,pfoA-,Day 6
G8AD0,LH043,pfoA-,Day 0
G8AD2,LH043,pfoA-,Day 2
G8AD6,LH043,pfoA-,Day 6
G8BD0,LH043,pfoA-,Day 0
G8BD2,LH043,pfoA-,Day 2
G8BD6,LH043,pfoA-,Day 6
G8CD0,LH043,pfoA-,Day 0
G8CD2,LH043,pfoA-,Day 2
G8CD6,LH043,pfoA-,Day 6
G8DD0,LH043,pfoA-,Day 0
G8DD2,LH043,pfoA-,Day 2
G8DD6,LH043,pfoA-,Day 6
G8ED0,LH043,pfoA-,Day 0
G8ED2,LH043,pfoA-,Day 2
G8ED6,LH043,pfoA-,Day 6
