Individual,Strain,Group,Day,Accession
G1AD0,Control,Control,Day 0,PRJNA755974
G1AD2,Control,Control,Day 2,PRJNA755974
G1AD6,Control,Control,Day 6,PRJNA755974
G1BD0,Control,Control,Day 0,PRJNA755974
G1BD2,Control,Control,Day 2,PRJNA755974
G1BD6,Control,Control,Day 6,PRJNA755974
G1CD0,Control,Control,Day 0,PRJNA755974
G1CD2,Control,Control,Day 2,PRJNA755974
G1CD6,Control,Control,Day 6,PRJNA755974
G1DD0,Control,Control,Day 0,PRJNA755974
G1DD2,Control,Control,Day 2,PRJNA755974
G1DD6,Control,Control,Day 6,PRJNA755974
G1ED0,Control,Control,Day 0,PRJNA755974
G1ED2,Control,Control,Day 2,PRJNA755974
G1ED6,Control,Control,Day 6,PRJNA755974
G2AD0,ABX,ABX,Day 0,PRJNA755974
G2AD6,ABX,ABX,Day 6,PRJNA755974
G2BD0,ABX,ABX,Day 0,PRJNA755974
G2BD2,ABX,ABX,Day 2,PRJNA755974
G2BD6,ABX,ABX,Day 6,PRJNA755974
G2CD0,ABX,ABX,Day 0,PRJNA755974
G2CD2,ABX,ABX,Day 2,PRJNA755974
G2CD6,ABX,ABX,Day 6,PRJNA755974
G2DD0,ABX,ABX,Day 0,PRJNA755974
G2DD6,ABX,ABX,Day 6,PRJNA755974
G2ED0,ABX,ABX,Day 0,PRJNA755974
G2ED2,ABX,ABX,Day 2,PRJNA755974
G2ED6,ABX,ABX,Day 6,PRJNA755974
G3AD0,IQ146,pfoA+,Day 0,PRJNA755974
G3AD2,IQ146,pfoA+,Day 2,PRJNA755974
G3AD6,IQ146,pfoA+,Day 6,PRJNA755974
G3BD0,IQ146,pfoA+,Day 0,PRJNA755974
G3BD2,IQ146,pfoA+,Day 2,PRJNA755974
G3BD6,IQ146,pfoA+,Day 6,PRJNA755974
G3CD0,IQ146,pfoA+,Day 0,PRJNA755974
G3CD2,IQ146,pfoA+,Day 2,PRJNA755974
G3CD6,IQ146,pfoA+,Day 6,PRJNA755974
G3DD0,IQ146,pfoA+,Day 0,PRJNA755974
G3DD2,IQ146,pfoA+,Day 2,PRJNA755974
G3DD6,IQ146,pfoA+,Day 6,PRJNA755974
G3ED0,IQ146,pfoA+,Day 0,PRJNA755974
G3ED2,IQ146,pfoA+,Day 2,PRJNA755974
G3ED6,IQ146,pfoA+,Day 6,PRJNA755974
G4AD0,IQ129,pfoA+,Day 0,PRJNA755974
G4AD2,IQ129,pfoA+,Day 2,PRJNA755974
G4BD0,IQ129,pfoA+,Day 0,PRJNA755974
G4BD2,IQ129,pfoA+,Day 2,PRJNA755974
G4BD6,IQ129,pfoA+,Day 6,PRJNA755974
G4CD0,IQ129,pfoA+,Day 0,PRJNA755974
G4CD2,IQ129,pfoA+,Day 2,PRJNA755974
G4CD6,IQ129,pfoA+,Day 6,PRJNA755974
G4DD0,IQ129,pfoA+,Day 0,PRJNA755974
G4DD2,IQ129,pfoA+,Day 2,PRJNA755974
G4DD6,IQ129,pfoA+,Day 6,PRJNA755974
G4ED0,IQ129,pfoA+,Day 0,PRJNA755974
G4ED2,IQ129,pfoA+,Day 2,PRJNA755974
G4ED6,IQ129,pfoA+,Day 6,PRJNA755974
G5AD0,LH115,pfoA+,Day 0,PRJNA755974
G5AD2,LH115,pfoA+,Day 2,PRJNA755974
G5AD6,LH115,pfoA+,Day 6,PRJNA755974
G5BD0,LH115,pfoA+,Day 0,PRJNA755974
G5BD2,LH115,pfoA+,Day 2,PRJNA755974
