Group,Day,Mucispirillum,Bacteroides,Prevotella,Fusobacterium,Hyphomicrobium,Paracoccus,Burkholderia,Neisseria,Desulfovibrio,Acinetobacter,Pseudomonas,Actinomyces,Bacillus,Planococcus,Jeotgalicoccus,Enterococcus,Lactobacillus,Streptococcus,Candidatus Arthromitus,Clostridium,Blautia,Coprococcus,Dorea,Dehalobacterium,Peptostreptococcus,Anaerotruncus,Oscillospira,Ruminococcus,Allobaculum,Coprobacillus,Anaeroplasma,Methanomethylovorans
Control,Day 0,0.106167697,3.272206131,0.854596109,0.000400717,0,0,0,0,2.006956281,0,0,0.000628931,0.014763437,0,0.001313097,0,84.17318396,0.011581448,2.132076705,0.07042523,3.674236257,0.089270149,0.079243395,0.225784883,0,0.003608024,1.888203839,0.573098274,0.45429702,0.292061394,0.075897028,0
ABX,Day 0,0,1.474482367,0,0,0,0,0,0,0.005456713,0,0,0,0.002642358,0,0.003086495,64.88587486,25.36721827,0,0.135811714,0.00063114,0.031641689,0.000943841,0.04827216,0,0,0,0.031816189,0.18055969,6.835868363,0.99569415,0,0
PFO+,Day 0,0,1.830184502,0.00068427,0,0.000208206,0,0.000352563,0,0.076724022,0,0,0,0.005976583,0.000135431,0.000381381,56.76408216,34.9906684,0.000256496,0.01785416,0.000907634,0.360226212,0.005853798,0.000511127,0.000853216,0.000121888,0,0.068457978,0.022052807,5.151939864,0.7015673,0,0
PFO-,Day 0,0,1.246588506,0.001072694,0,0,0,0.00039099,0,0.003822198,0,0,0,0.013665736,0,0.002043886,42.46527244,44.10020557,0,0.003356832,0.000597309,0.0918201,0.008350531,0.014307115,0.000245856,0,0,0.038925846,0.016426369,11.91352521,0.079382807,0,0
Control,Day 2,0.181468497,8.433725927,0.421373786,0,0,0,0,0,4.861476854,0,0,0,0.86792137,0,0.000282552,0.00189558,70.28815325,0.013377491,1.293766429,0.107798719,6.433817521,0.164405598,0.153144424,0.342738646,0,0.001843184,4.661987034,1.321380634,0.055608971,0.287214662,0.106618868,0
ABX,Day 2,0,49.63090092,0.290584932,0,0,0,0,0,0.007690412,0.000578854,0.002604845,0,0.014528002,0,0,8.63328156,7.176414747,0.00430063,0.017958897,0.003465444,2.792620633,0,0.001809757,0,0,0,0.473448492,2.98879331,27.79702386,0.163994711,0,0
PFO+,Day 2,0,47.47361202,0.004898457,0,0,0,0.000109955,0,1.044646952,0,0.000131341,0,0.010041141,0,0.006464364,21.32931159,19.67573801,0.000488723,0.003701408,0.002278995,7.127193243,0.000360178,0.000262682,0.007045959,0,0,0.081127857,0.442355813,2.782428238,0.007803067,0,0
PFO-,Day 2,0,44.44536764,0.005025974,0,0,0.000221722,0,0,0.011640937,0,0,0,0.005432646,0,0,12.22194055,16.34514108,0.001199766,0.012739099,0.012217155,4.486858936,0.006346213,0.004441862,0.001076467,0,0,0.12660278,0.846581173,21.44437035,0.022795658,0,0
Control,Day 6,0.003337108,4.249706513,0.467048594,0,0,0,0,0,2.226110284,0,0,0,3.059730386,0,0.854241714,0.001536284,81.79616725,0.002162146,0.652465769,0.083404037,2.79212436,0.083623415,0.080212672,0.282428091,0,0,2.072091874,0.7226009,0.114344811,0.325541539,0.131122252,0
ABX,Day 6,0,24.0045041,0.000612831,0.000483996,0,0.000322664,0,0.001935983,0.047182063,0,0,0,0.646853137,0,0.018570203,0.330259857,50.48240145,0.001254283,0.015213772,0.270093783,1.67786273,0.06701399,0.008758934,0.102101099,0,0,1.70428863,0.966006645,19.0824752,0.402548713,0.169255932,0
PFO+,Day 6,0,44.13351883,0.029891798,0,0,0,0,0,0.035149104,0,0,0,0.026326317,0,0.001460056,1.272804884,37.22274213,0.002720167,0.059547695,0.000664771,2.248277048,0.01053535,0.00398821,0.040059072,0,0,0.907448701,0.998375677,12.1926387,0.668120926,0.145538665,0.000191905
PFO-,Day 6,0,35.68986228,0.16100206,0,0,0.000162846,0,0,0.024003236,0,0.000134959,0,0.041803598,0,0.002148672,0.717691601,37.78456518,0.010545981,0.020198764,0.036812061,4.212308587,0.11558404,0.03133682,0.076887067,0,0,1.323317165,1.379362477,18.20269642,0.169576181,0,0
