Strain,Group,Day -6,Day -3,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6
Control,Control,18.5,18.5,18.6,18.9,18.7,18.7,18.9,19.1,18.6
Control,Control,17.7,18.6,18.1,18.4,18.8,19.3,19.3,19.3,19.4
Control,Control,18.6,18.7,18.8,19.6,19.8,20,20,20.2,20.2
Control,Control,17.5,18,17.8,19,19.1,19.4,19.6,19.5,19.8
Control,Control,15.4,16.5,16.4,16.9,16.7,17.1,17,17.2,17.6
ABX,ABX,19.2,18.8,20.3,20.6,20.8,20.7,20.5,20.1,19.6
ABX,ABX,16.5,16.5,18,17.8,18.6,18.2,18.8,18.7,18.9
ABX,ABX,16.5,16.8,17,17.1,18.2,18.4,18.5,18.4,18.6
ABX,ABX,17.9,17.7,17.9,18.1,18.6,18.7,18.7,18.6,18.9
ABX,ABX,17.5,17.6,18.3,18.2,18.5,18.9,18.9,18.6,18.1
IQ146,pfoA+,16,16,16.3,16.7,16.8,16.7,16.7,16.9,16.8
IQ146,pfoA+,18.7,19.3,19.4,19.3,19.6,19.7,19.7,19.5,19.7
IQ146,pfoA+,18.7,19.4,19.7,19.8,20,20.5,19.6,19.3,19.7
IQ146,pfoA+,18.1,19.3,19.3,19.6,19.6,20,19.7,19.6,19.5
IQ146,pfoA+,15.7,15.8,15.6,16,15.8,16.2,15.9,16.2,16.4
IQ129,pfoA+,18.5,18.5,19.1,19.3,18.9,19.2,19,18.7,18.6
IQ129,pfoA+,19.8,20.3,20.4,20.6,20.8,21.3,21.3,20.8,20.1
IQ129,pfoA+,18,19.3,19.6,19.7,19.8,19.9,19.8,19.5,19.4
IQ129,pfoA+,18.8,19.4,19.8,19.8,20.1,20,20.5,20.7,20
IQ129,pfoA+,17.3,17.3,17.6,17.9,18.2,18.4,18.3,17.9,17.5
LH115,pfoA+,15,15.5,16,16.1,16,16.3,16,16.2,16
LH115,pfoA+,17.5,17.5,17.8,18,18.6,18.5,18.5,18.7,18.7
LH115,pfoA+,16.1,16.1,16.2,16.7,16.8,16.9,17.1,17.3,17.4
LH115,pfoA+,17.2,17.9,17.5,17.8,17.9,18.4,18.5,18.2,18
LH115,pfoA+,17.4,18.3,18.4,18.6,18.7,19.2,19.3,19.5,18.8
IQ147,pfoA-,17.3,17.5,17.6,17.5,17.7,17.8,17.7,17.8,17.9
IQ147,pfoA-,17.6,18.1,18.4,18.9,18.8,19.8,19.4,19.2,18.8
IQ147,pfoA-,18.1,17,18.6,18.3,18.4,18.8,18.6,18.5,18.5
IQ147,pfoA-,16.6,17,17.3,17.7,18,17.9,17.9,18.1,18
IQ147,pfoA-,18,18.2,18,18.6,19.3,18.9,18.9,19.1,18.9
IQ133,pfoA-,17,17.4,17.5,17.7,17.9,18.2,18.2,18.1,17.5
IQ133,pfoA-,17.2,17.5,17.4,18,18.4,18.7,18.3,18.1,17.9
IQ133,pfoA-,16.9,17,16.9,17.3,17.8,18,18,17.7,18
IQ133,pfoA-,17.5,17.4,17.3,17.3,17.7,17.8,18.1,18.1,18.1
IQ133,pfoA-,16.8,17.2,17,17,17.9,17.9,18.1,18.1,18.2
LH043,pfoA-,16.1,16.2,16.3,16.9,17,17,17,16.7,17
LH043,pfoA-,19.9,19.8,21,20.9,20.9,21.1,21.2,21.3,21.4
LH043,pfoA-,15.9,16.1,16.2,16.3,16.8,16.4,16.6,16.4,16.4
LH043,pfoA-,16.8,17,17.9,17.9,17.8,17.9,17.9,18.4,18.6
LH043,pfoA-,19.6,20,20.3,20.8,21.1,20.4,20.6,20.4,20.3
