Isolate,Year,Hospital,Value
IQ001,2015,A,1
IQ002,2014,A,1
IQ003,2015,A,1
IQ004,2014,A,1
IQ005,2014,A,1
IQ006,2014,A,1
IQ007,2014,A,1
IQ008,2014,A,1
IQ009,2014,A,1
IQ010,2015,A,1
IQ011,2015,A,1
IQ012,2015,A,1
IQ013,2015,A,1
IQ014,2014,A,1
IQ015,2014,A,1
IQ016,2015,A,1
IQ017,2015,A,1
IQ018,2015,A,1
IQ019,2016,A,1
IQ020,2011,A,1
IQ021,2011,A,1
IQ022,2011,A,1
IQ023,2011,A,1
IQ024,2011,A,1
IQ025,2011,A,1
IQ026,2011,A,1
IQ027,2011,A,1
IQ028,2011,A,1
IQ029,2011,A,1
IQ030,2011,A,1
IQ031,2011,A,1
IQ032,2011,A,1
IQ033,2011,A,1
IQ034,2011,A,1
IQ035,2011,A,1
IQ036,2011,A,1
IQ037,2011,A,1
IQ038,2011,A,1
IQ039,2011,A,1
IQ040,2011,A,1
IQ041,2011,A,1
IQ042,2011,A,1
IQ043,2011,A,1
IQ044,2011,A,1
IQ045,2011,A,1
IQ046,2011,A,1
IQ049,2011,A,1
IQ050,2011,A,1
IQ051,2011,A,1
IQ052,2011,A,1
IQ053,2011,A,1
IQ054,2011,A,1
IQ055,2011,A,1
IQ056,2011,A,1
IQ057,2011,A,1
IQ058,2011,A,1
IQ059,2011,A,1
IQ060,2011,A,1
IQ061,2011,A,1
IQ062,2011,A,1
IQ063,2011,A,1
IQ064,2011,A,1
IQ065,2011,A,1
IQ066,2011,A,1
IQ067,2011,A,1
IQ068,2011,A,1
IQ069,2012,A,1
IQ070,2012,A,1
IQ071,2012,A,1
IQ072,2012,A,1
IQ073,2012,A,1
IQ074,2012,A,1
IQ075,2011,A,1
IQ076,2011,A,1
IQ077,2012,A,1
IQ078,2012,A,1
IQ079,2012,A,1
IQ080,2012,A,1
IQ081,2012,A,1
IQ082,2012,A,1
IQ083,2012,A,1
IQ084,2011,A,1
IQ085,2011,A,1
IQ086,2012,A,1
IQ087,2012,A,1
IQ088,2012,A,1
IQ089,2012,A,1
IQ090,2012,A,1
IQ091,2012,A,1
IQ092,2012,A,1
IQ093,2012,A,1
IQ094,2012,A,1
IQ095,2012,A,1
IQ096,2012,A,1
IQ097,2012,A,1
IQ098,2012,A,1
IQ099,2012,A,1
IQ100,2012,A,1
IQ101,2012,A,1
IQ102,2012,A,1
IQ103,2012,A,1
IQ104,2012,A,1
IQ105,2012,A,1
IQ106,2012,A,1
IQ107,2012,A,1
IQ108,2012,A,1
IQ109,2012,A,1
IQ110,2012,A,1
IQ111,2012,A,1
IQ112,2012,A,1
IQ113,2012,A,1
IQ114,2012,A,1
IQ115,2012,A,1
IQ116,2012,A,1
IQ117,2012,A,1
IQ118,2012,A,1
IQ119,2012,A,1
IQ120,2012,A,1
IQ121,2012,A,1
IQ122,2012,A,1
IQ123,2012,A,1
IQ124,2012,A,1
IQ125,2012,A,1
IQ126,2012,A,1
IQ127,2012,A,1
IQ128,2012,A,1
IQ129,2012,A,1
IQ130,2012,A,1
IQ131,2012,A,1
IQ132,2012,A,1
IQ133,2012,A,1
IQ134,2012,A,1
IQ135,2012,A,1
IQ136,2012,A,1
IQ137,2012,A,1
IQ138,2012,A,1
IQ139,2012,A,1
IQ140,2012,A,1
IQ141,2012,A,1
IQ142,2012,A,1
IQ143,2012,A,1
IQ144,2012,A,1
IQ145,2012,A,1
IQ146,2012,A,1
IQ147,2011,B,1
IQ148,2011,B,1
IQ149,2011,B,1
IQ150,2011,B,1
IQ151,2011,B,1
IQ152,2011,B,1
IQ153,2011,B,1
IQ154,2011,B,1
IQ155,2011,B,1
IQ156,2011,B,1
IQ157,2011,B,1
IQ158,2011,B,1
IQ159,2011,B,1
IQ160,2011,B,1
IQ161,2011,B,1
IQ162,2012,B,1
IQ163,2012,B,1
IQ164,2012,B,1
IQ165,2012,B,1
IQ166,2012,B,1
IQ167,2012,B,1
IQ168,2012,B,1
IQ169,2012,B,1
IQ170,2012,B,1
IQ171,2012,B,1
IQ172,2012,B,1
IQ173,2012,B,1
IQ174,2012,B,1
IQ175,2012,B,1
IQ176,2012,B,1
IQ177,2012,B,1
IQ178,2012,B,1
IQ179,2012,B,1
IQ180,2012,B,1
IQ181,2012,B,1
IQ182,2012,B,1
IQ183,2012,B,1
IQ184,2012,B,1
IQ185,2012,B,1
IQ186,2012,B,1
IQ187,2012,B,1
IQ188,2012,B,1
IQ189,2012,B,1
IQ190,2012,B,1
IQ191,2012,B,1
IQ192,2012,B,1
IQ193,2012,B,1
IQ194,2012,B,1
IQ195,2012,B,1
IQ196,2012,B,1
IQ197,2012,B,1
IQ198,2012,B,1
IQ199,2012,B,1
IQ200,2012,B,1
IQ201,2012,B,1
IQ202,2012,B,1
IQ203,2012,B,1
IQ204,2012,B,1
IQ205,2012,B,1
IQ206,2012,B,1
IQ207,2014,B,1
IQ208,2015,B,1
IQ209,2016,B,1
IQ210,2014,B,1
IQ211,2015,B,1
IQ212,2015,B,1
LH019,2015,D,1
LH020,2015,D,1
LH023,2015,D,1
LH024,2015,D,1
LH031,2015,D,1
LH032,2015,D,1
LH033,2015,D,1
LH035,2015,D,1
LH043,2015,D,1
LH044,2015,D,1
LH045,2015,D,1
LH046,2014,C,1
LH047,2014,C,1
LH048,2014,C,1
LH051,2014,C,1
LH055,2014,C,1
LH056,2015,C,1
LH057,2015,C,1
LH059,2015,C,1
LH060,2015,C,1
LH062,2014,C,1
LH063,2014,C,1
LH064,2014,C,1
LH065,2014,C,1
LH066,2014,C,1
LH067,2014,C,1
LH070,2014,C,1
LH071,2014,C,1
LH080,2014,C,1
LH083,2014,C,1
LH084,2014,C,1
LH086,2014,C,1
LH101,2015,C,1
LH102,2015,C,1
LH103,2015,C,1
LH105,2015,C,1
LH107,2015,C,1
LH108,2015,C,1
LH109,2015,C,1
LH111,2015,C,1
LH112,2014,C,1
LH113,2014,C,1
LH114,2014,C,1
LH115,2014,C,1
LH116,2014,C,1
LH120,2015,C,1
LH121,2015,C,1
LH122,2015,C,1
LH135,2015,D,1
LH136,2015,D,1
LH137,2015,D,1
LH139,2015,D,1
LHC1,2014,C,1
LHC13,2015,C,1
LHC14,2015,C,1
LHC5,2014,C,1
LHN001,2016,E,1
LHN002,2016,E,1
LHN003,2016,E,1
LHN004,2016,E,1
LHN005,2016,E,1
LHN006,2016,E,1
