Sample,Virulence,Lineage
IQ001,15,VII
IQ002,19,III
IQ003,18,III
IQ004,12,V
IQ005,8,I
IQ006,12,VII
IQ007,10,V
IQ008,17,VII
IQ009,18,VI
IQ010,18,VII
IQ011,15,VII
IQ013,13,VI
IQ015,11,V
IQ016,16,VI
IQ017,12,VII
IQ018,15,VI
IQ019,7,I
IQ021,13,VI
IQ027,12,V
IQ028,7,I
IQ039,12,VI
IQ045,9,I
IQ046,12,V
IQ050,14,VII
IQ054,11,V
IQ059,11,V
IQ068,12,V
IQ069,10,V
IQ071,12,V
IQ073,15,VII
IQ075,10,V
IQ083,14,VII
IQ084,11,V
IQ086,14,V
IQ088,11,V
IQ092,15,V
IQ101,18,III
IQ106,8,I
IQ108,12,V
IQ120,12,V
IQ129,15,VI
IQ130,15,VII
IQ136,11,V
IQ139,10,V
IQ146,17,VII
IQ148,13,V
IQ149,13,VII
IQ158,14,VI
IQ165,11,V
IQ170,10,V
IQ185,9,V
IQ187,13,V
IQ189,12,V
IQ194,16,VII
IQ195,11,V
IQ203,10,V
IQ207,13,VI
IQ209,16,VI
IQ210,11,V
IQ211,16,VII
IQ212,12,V
LH046,15,V
LH057,14,VII
LH060,12,V
LH064,11,V
LH080,11,V
LH086,13,VII
LH105,14,VII
LH109,14,V
LH112,15,VI
LH135,15,VI
LHC13,15,VI
LHN001,20,III
LHN004,11,V
LHN006,15,III
