Sample,Colonisation,Lineage
IQ001,10,VII
IQ002,10,III
IQ003,10,III
IQ004,7,V
IQ005,2,I
IQ006,8,VII
IQ007,6,V
IQ008,10,VII
IQ009,11,VI
IQ010,11,VII
IQ011,8,VII
IQ013,9,VI
IQ015,7,V
IQ016,9,VI
IQ017,8,VII
IQ018,8,VI
IQ019,2,I
IQ021,9,VI
IQ027,8,V
IQ028,2,I
IQ039,8,VI
IQ045,2,I
IQ046,8,V
IQ050,9,VII
IQ054,7,V
IQ059,7,V
IQ068,7,V
IQ069,6,V
IQ071,7,V
IQ073,8,VII
IQ075,6,V
IQ083,9,VII
IQ084,7,V
IQ086,8,V
IQ088,7,V
IQ092,9,V
IQ101,10,III
IQ106,3,I
IQ108,6,V
IQ120,7,V
IQ129,8,VI
IQ130,8,VII
IQ136,7,V
IQ139,6,V
IQ146,10,VII
IQ148,8,V
IQ149,8,VII
IQ158,7,VI
IQ165,7,V
IQ170,6,V
IQ185,4,V
IQ187,8,V
IQ189,7,V
IQ194,8,VII
IQ195,7,V
IQ203,6,V
IQ207,8,VI
IQ209,9,VI
IQ210,6,V
IQ211,9,VII
IQ212,7,V
LH046,9,V
LH057,9,VII
LH060,8,V
LH064,6,V
LH080,7,V
LH086,9,VII
LH105,9,VII
LH109,9,V
LH112,8,VI
LH135,8,VI
LHC13,8,VI
LHN001,9,III
LHN004,7,V
LHN006,9,III
