Lineage,Toxin,Perc
I,plc,100
III,plc,100
V,plc,100
VI,plc,100
VII,plc,100
I,pfoA,100
III,pfoA,100
V,pfoA,19
VI,pfoA,67
VII,pfoA,100
I,ccp,100
III,ccp,100
V,ccp,100
VI,ccp,100
VII,ccp,100
I,colA,100
III,colA,100
V,colA,100
VI,colA,100
VII,colA,100
I,cpe,0
III,cpe,40
V,cpe,3
VI,cpe,0
VII,cpe,0
I,etx,0
III,etx,0
V,etx,0
VI,etx,0
VII,etx,6
I,iap/ibp,0
III,iap/ibp,40
V,iap/ibp,0
VI,iap/ibp,0
VII,iap/ibp,0
I,becA/becB,0
III,becA/becB,40
V,becA/becB,0
VI,becA/becB,0
VII,becA/becB,0
I,cpb2,40
III,cpb2,25
V,cpb2,17
VI,cpb2,75
VII,cpb2,71
I,alv,0
III,alv,100
V,alv,0
VI,alv,0
VII,alv,0
