Sample	plc	pfoA	ccp	colA	cpe	etx	iap	ibp	becA	becB	cpb2-var1	cpb2-var2	alveolysin
IQ004	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ007	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ015	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ027	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ046	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ054	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ059	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ068	1	1	1	1	0	0	0	0	0	0	0	0	0
IQ069	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ071	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ075	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ084	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ086	1	1	1	1	0	0	0	0	0	0	1	0	0
IQ088	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ092	1	0	1	1	0	0	0	0	0	0	0	1	0
IQ108	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ120	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ136	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ139	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ148	1	0	1	1	0	0	0	0	0	0	1	0	0
IQ165	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ170	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ185	1	1	1	1	0	0	0	0	0	0	0	0	0
IQ187	1	1	1	1	0	0	0	0	0	0	0	0	0
IQ189	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ195	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ203	1	0	1	1	0	0	0	0	0	0	0	0	0
IQ210	1	1	1	1	0	0	0	0	0	0	0	0	0
IQ212	1	0	1	1	0	0	0	0	0	0	0	0	0
LH046	1	0	1	1	1	0	0	0	0	0	1	0	0
LH060	1	0	1	1	0	0	0	0	0	0	0	0	0
LH064	1	1	1	1	0	0	0	0	0	0	0	0	0
LH080	1	0	1	1	0	0	0	0	0	0	0	0	0
LH109	1	0	1	1	0	0	0	0	0	0	1	0	0
LH112	1	1	1	1	0	0	0	0	0	0	0	1	0
LHN004	1	0	1	1	0	0	0	0	0	0	0	0	0
