Strain	plc	pfoA	ccp	colA	cpe	cpb2
4928STDY7387898	1	0	1	1	0	0
4928STDY7387917	1	1	1	1	0	1
4928STDY7387926	1	1	1	1	0	0
IQ004	1	0	1	1	0	0
IQ007	1	0	1	1	0	0
IQ015	1	0	1	1	0	0
IQ027	1	0	1	1	0	0
IQ046	1	0	1	1	0	0
IQ054	1	0	1	1	0	0
IQ059	1	0	1	1	0	0
IQ068	1	1	1	1	0	0
IQ069	1	0	1	1	0	0
IQ071	1	0	1	1	0	0
IQ075	1	0	1	1	0	0
IQ084	1	0	1	1	0	0
IQ086	1	1	1	1	0	1
IQ088	1	0	1	1	0	0
IQ092	1	0	1	1	0	1
IQ108	1	0	1	1	0	0
IQ120	1	0	1	1	0	0
IQ136	1	0	1	1	0	0
IQ139	1	0	1	1	0	0
IQ148	1	0	1	1	0	1
IQ165	1	0	1	1	0	0
IQ170	1	0	1	1	0	0
IQ185	1	1	1	1	0	0
IQ187	1	1	1	1	0	0
IQ189	1	0	1	1	0	0
IQ195	1	0	1	1	0	0
IQ203	1	0	1	1	0	0
IQ210	1	1	1	1	0	0
IQ212	1	0	1	1	0	0
LH046	1	0	1	1	1	1
LH060	1	0	1	1	0	0
LH064	1	1	1	1	0	0
LH080	1	0	1	1	0	0
LH109	1	0	1	1	0	1
LH112	1	1	1	1	0	1
LHN004	1	0	1	1	0	0
MGYG000022630	1	0	1	1	0	0
MGYG000023968	1	1	1	1	0	0
MGYG000055276	1	1	1	1	0	0
MGYG000056273	1	0	1	1	0	0
MGYG000059289	1	1	1	1	0	0
MGYG000066261	1	1	1	1	0	0
MGYG000070240	1	0	1	1	0	0
MGYG000155963	1	1	1	1	0	1
MGYG000164627	1	1	1	1	0	0
MGYG000196892	1	0	1	1	0	0
MGYG000207169	1	1	1	1	0	1
MGYG000208797	1	0	1	1	0	0
MGYG000210737	1	0	1	1	0	0
MGYG000216245	1	1	1	1	0	1
MGYG000216741	1	0	1	0	0	0
MGYG000228283	1	1	1	1	0	0
MGYG000241944	1	1	1	1	0	0
MGYG000244138	1	0	1	1	0	0
MGYG000252182	1	1	0	1	0	0
MGYG000274057	1	0	1	1	0	1
PH025	1	1	1	1	1	0
PH045	1	0	1	1	0	0
PH050	1	0	1	1	1	0
PH119	1	1	1	1	1	1
	63	22	62	62	4	12
						
Proportion calculation						
MAG	100	55	95	95	0	20
Isolate	100	28	100	100	10	20.5
All	100	51	99	99	9	28
